	Aylor_TCDD_Female_adult	Bartolomei_BPA10mg_Female_adult	Bartolomei_BPA10ug_Female_adult	Biswal_PM2.5_Female_adult	Dolinoy_Pb_Female_adult	Dolinoy_DEHP_Female_adult	Mutlu_PM2.5_Female_adult	Zhibin_As_Female_adult	Walker_TBT_Female_adt	num
Gm38244	0	-1.003343518	0	0.675426007	0	0	0	1.642967867	-1.568920022	4
Gm42870	0	0.773471653	0	-1.115176037	0.70701758	0	0	0	1.048449023	4
Gm43672	0	-1.013970995	-1.311538496	1.8147254	0	0	0	0.659928078	0	4
Gm43904	0	-2.465804752	-1.758060293	2.760219476	0	0	0	0	0.948425984	4
Gm45716	0	-1.611792263	-1.381243965	2.04065821	0	0	0	1.133077136	0	4
Gm49391	0	-2.659227968	-2.157176954	3.409185166	0	0	0	1.168149822	0	4
Gm5526	0	0	-1.212554514	2.142338611	1.006099961	0.775260906	0	0	0	4
Gm5805	0	1.134281948	0	1.050940524	1.541114198	1.332638137	0	0	0	4
Gm5915	0	0	-0.802149248	1.90505913	1.239236814	1.40129591	0	0	0	4
Gm6634	0	-3.514411742	-2.429929676	2.976661563	0	0	0	1.494122674	0	4
Gm6900	0	-1.021433608	-0.859309961	1.441318483	0	0	0	0	0.729852778	4
Gm9821	0	-1.452641002	-0.945784499	0.905890169	0	0	0	0	-1.986073897	4
Gp1ba	0	-3.512264359	-2.431624148	2.687320448	0	0	0	0	0.883211545	4
Gp1bb	0	-1.067708489	-1.630831631	1.438945603	0	0	0	0	-0.859424655	4
Gpm6b	0	-1.609533822	-1.192899334	1.873550026	0	0	0	0.716859265	0	4
Hist1h1c	0	-2.02476373	-1.763855137	2.381645379	0	0	0	1.093160594	0	4
Hist1h2ac	0	-2.809914646	-2.028838267	3.12966441	0	0	0	1.173919056	0	4
Hist1h2bc	0	-2.058563439	-2.056227998	2.694049154	0	0	0	0.85817143	0	4
Hist1h2be	0	-1.470308472	-1.254951324	1.991074984	0	0	0	0	-0.712070238	4
Hist1h4h	0	-1.353329326	-1.932037862	2.824234783	0	0	0	1.045974074	0	4
Hist1h4i	0	-1.42882205	-1.670753804	2.617620108	0	0	0	1.00670255	0	4
Hist1h4n	0	-1.400534183	-1.797222864	3.728672547	0	0	0	0	-0.871415642	4
Hist3h2a	0	-0.894278476	-0.992219211	1.735122131	0	0	0	0.753427107	0	4
Hk1os	0	-0.820854468	-1.141624117	1.890435201	0	0	0	0	0.87393817	4
Hmga2	0	-2.687395556	-2.402329582	1.899163951	0	0	0	0	-1.72777507	4
Homer2	0	-1.699579047	-1.466599054	2.853705218	0	0	0	0	0.927164259	4
Hotairm1	0	-1.427457113	-1.800889178	2.656317363	0	0	0	1.121919	0	4
Hsph1	0.758563749	-0.892992841	0	1.034435081	0	0	0.752615526	0	0	4
Ighv12-3	0	1.292966418	1.030616913	-2.425975287	0	0	0	0	-1.713231452	4
Ighv2-6	0	0	0.966243149	-1.191660065	-0.968405819	0	0	0	-1.279841186	4
Ighv5-12	0	-1.51378687	-1.540015443	-2.270293661	0	0	0	0	-1.43454414	4
Kcne3	0	1.008466221	0	0.937646133	0	0	0	1.121375936	-0.960120437	4
Klra17	0	-0.869947097	-1.570817753	0.782974991	0	0	0	0	-0.790785505	4
Klra4	0.695095352	-0.852418054	0	0.830296468	0	0	0	0.802102467	0	4
Klra7	0.648459007	-0.753257662	0	0.616264959	0	0	0	0.842088569	0	4
Klra8	0.650828841	-1.110369444	0	1.393087521	0	0	0	0.63852305	0	4
Klrb1a	0.847151955	-0.66333827	0	0.90943057	0	0	0	0	-0.635023657	4
Klrc1	0.626789301	-1.451324605	0	0.605111559	0	0	0	0.781673704	0	4
Klri2	0.775916345	-1.378418968	0	0.672224487	0	0	0	0.638060707	0	4
Krt222	-0.705193	0.83391645	0.911878407	-1.413246769	0	0	0	0	0	4
Lbp	0	0	0	-1.523049474	0	0	0.994151049	-1.187232102	-1.726445473	4
Maml3	0	-1.135827798	-0.893676845	1.250108184	0	0	0	0	0.606253567	4
Mfsd4a	0	-0.820650036	0	-0.788862407	-0.890148318	0	0	0	-1.489689349	4
Mmd	0	-2.892028309	-1.821178121	2.819964955	0	0	0	1.139908913	0	4
Mmp25	0	-0.705841542	-1.052541286	-1.132609031	-0.819467604	0	0	0	0	4
mt-Rnr1	0	-1.43897204	-1.196387853	1.611630952	0	0	0	0	1.022209948	4
Ndrg2	0	-0.749529713	-0.94255246	1.847459808	0	0	0	0	0.646957946	4
Nol4l	0	-1.753721137	-1.389151732	1.868282541	0	0	0	-0.613550899	0	4
Nudt3	0	-0.789921584	-1.00821793	1.663459617	0	0	0	0.7630002	0	4
Pdzk1ip1	0	-1.678456159	-1.560851304	3.142750532	0	0	0	0.912294809	0	4
Pi4k2b	0	-1.170385272	-0.690849945	1.171069293	0	0	0	0	0.585465509	4
Prf1	0.820040922	-0.936117597	0	0.623100705	0	0	0	0	-0.741241582	4
Prokr1	0	-2.612215153	-1.068591724	2.977535427	0	0	0	0	0.683533373	4
Rab13	0	-1.323164951	-1.776126941	2.442160959	0	0	0	0	0.922442742	4
Rab36	0	-1.969240768	-1.511603383	0.911253664	0	0	0	0	0.698299274	4
Rgs18	0	-2.586141426	-1.673291184	2.48319224	0	0	0	1.069733491	0	4
Rpl31-ps8	0	1.170292094	0	1.255271487	1.410947154	1.215385159	0	0	0	4
Rpl38-ps2	0	0.901854406	0	0.953381421	0.95183945	0.819269064	0	0	0	4
Rps13-ps2	0	1.231035492	0	1.126715367	0	0	0	0.736704191	-0.938376298	4
S100a8	0	0	-1.295962241	-1.482911791	0	0	0	1.021249578	-1.148605558	4
Slfn14	0	-1.476205583	-0.814859891	2.382838563	0	0	0	0	0.633507571	4
Steap4	0	-1.24667972	-1.504809324	-1.066447712	0	0	-1.189955445	0	0	4
Tmem158	0	-3.009428215	-2.441321761	2.94180652	0	0	0	1.135978775	0	4
Tshz3	0.914891208	-0.79101416	0	0.897050824	0	0	0	0	-1.090940206	4
Vsig2	0	-4.149907534	-2.476872366	1.322884458	0	0	0	0	-2.352714577	4
Wbp2	0	-0.74166817	-0.683262741	0.987590946	0	0	0	0	0.614067775	4
Wnk4	0	-1.060581665	-1.297001143	2.532802977	0	0	0	0	0.974785573	4
1110020A21Rik	0	-1.253171261	-0.942129367	1.545731736	0	0	0	0	0	3
1110028F11Rik	0	-2.299388557	-2.503734044	2.443850367	0	0	0	0	0	3
1110032A03Rik	0	-1.521950219	-1.599214508	2.121036685	0	0	0	0	0	3
1110046J04Rik	0	-1.543269556	-1.442269767	2.493136758	0	0	0	0	0	3
1110065P20Rik	0	0.94834553	0	0	0	0	0	0.821396958	-0.883763813	3
1200007C13Rik	0	-2.546340191	-1.763429292	2.80297647	0	0	0	0	0	3
1500026H17Rik	0	-1.543115886	-2.067222801	2.354940547	0	0	0	0	0	3
1700006J14Rik	0	-0.773556557	-0.769432826	1.370667737	0	0	0	0	0	3
1700096K18Rik	0	-0.965273936	-1.09643552	1.397283911	0	0	0	0	0	3
2010309G21Rik	0	1.180729665	0.78828242	-0.708112191	0	0	0	0	0	3
2310034O05Rik	0	-2.529507449	-2.294149055	3.258904215	0	0	0	0	0	3
2310075C17Rik	0	-2.322982419	-1.930353999	3.74574765	0	0	0	0	0	3
2510009E07Rik	0	-1.140771631	-1.00627968	2.470670215	0	0	0	0	0	3
2610037D02Rik	0	0.765662353	0	-0.801374441	0	0	0	0	0.713001187	3
2610528J11Rik	0	-2.373115351	-1.997918561	2.990193003	0	0	0	0	0	3
2810030D12Rik	0	-1.298801553	-1.187993987	2.893236847	0	0	0	0	0	3
2900026A02Rik	0	-2.293089905	-1.546678667	1.212022721	0	0	0	0	0	3
2900093K20Rik	0	0	-0.826876973	0.641094406	0	0	0	0.649629767	0	3
4833413G10Rik	0	-1.793818505	-0.956975277	1.965931667	0	0	0	0	0	3
4833439L19Rik	0	-0.791015553	-0.599963841	1.141501324	0	0	0	0	0	3
4930404H24Rik	0	-2.439489786	-1.972744647	4.602668488	0	0	0	0	0	3
4930579G24Rik	0	0	0	-0.766629866	0	0	0	0.585233988	-0.68519113	3
4930598N05Rik	0	-3.83212987	-1.876659409	3.902353854	0	0	0	0	0	3
4932441J04Rik	0	-2.35957937	-1.932033006	2.347483386	0	0	0	0	0	3
4933432K03Rik	0	-2.216384018	-1.949177813	3.136852319	0	0	0	0	0	3
5033406O09Rik	0	-1.409397074	-1.517437039	2.895382278	0	0	0	0	0	3
6330403L08Rik	0	-2.182685266	-1.666826027	2.975467321	0	0	0	0	0	3
9330182L06Rik	0	-2.740674159	-2.234013222	3.091194082	0	0	0	0	0	3
A730089K16Rik	0	-3.618471549	-2.14664583	3.403643848	0	0	0	0	0	3
A930009A15Rik	0	-3.102887157	-1.822079579	3.393403187	0	0	0	0	0	3
AA986860	0	-1.701589986	-1.045660173	1.625798702	0	0	0	0	0	3
Abhd4	0	-0.729953642	-0.661703837	1.295844064	0	0	0	0	0	3
Abhd6	0	0.777900671	0.626932448	-0.760306177	0	0	0	0	0	3
Abtb1	0	-0.586603657	-0.887021766	0.939318699	0	0	0	0	0	3
AC115954.1	0	0	0	1.041376736	0	0	0	0.768835256	-1.288640583	3
AC151410.1	0	-2.838884103	-2.113486942	3.426198802	0	0	0	0	0	3
Accsl	0	-2.143039855	-1.469382859	2.877329321	0	0	0	0	0	3
Acer2	0	-2.456588166	-1.61607397	3.087180052	0	0	0	0	0	3
Ache	0	-2.729546873	-2.32233988	2.776997982	0	0	0	0	0	3
Actn1	0	-1.069447767	-0.968384264	1.230142882	0	0	0	0	0	3
Adam8	0	0	-0.854129171	-0.798968303	0	0	0	0	-0.828366988	3
Adamts14	0.921978326	-0.834548736	0	1.043520763	0	0	0	0	0	3
Adcy5	0	-2.527197916	-1.903093971	3.348966647	0	0	0	0	0	3
Adcy6	0	-1.467228213	-1.159805781	1.979883087	0	0	0	0	0	3
Adcy9	0	-2.023616142	-1.173120745	2.287370316	0	0	0	0	0	3
Adgrg1	0	-2.971115777	-2.331216141	2.512307231	0	0	0	0	0	3
Afap1l1	0	-1.361496394	-1.244010407	2.784892494	0	0	0	0	0	3
Ahnak	0	0.713275031	0.858959503	0	0	0	0	-0.630861018	0	3
AI463229	0	-1.479805013	-1.466857496	2.466835348	0	0	0	0	0	3
Akt3	0	-1.291836782	-0.674931875	1.176555338	0	0	0	0	0	3
Aldh1l1	0	0	-0.872770401	1.43238893	0	0	0	0	0.93112089	3
Aldh2	0	-0.86722713	-0.75917777	1.278155344	0	0	0	0	0	3
Alox12	0	-3.816075952	-2.710768714	2.585395548	0	0	0	0	0	3
Alox15	0	2.023501101	0	-4.120585541	0	0	0	0	-1.714488805	3
Amer2	0	-1.119335763	-1.683797014	0	0	0	-1.216490849	0	0	3
Angpt1	0	-3.510356135	-2.000750924	3.208035696	0	0	0	0	0	3
Ankdd1a	0	-1.626319959	-1.311613256	0.854516303	0	0	0	0	0	3
Ankrd28	0	-1.538813254	-0.900304417	1.527112278	0	0	0	0	0	3
Ankrd35	0	-2.482635364	-2.048092315	2.605402771	0	0	0	0	0	3
Aoah	0.637967388	-1.148629904	0	0	0	0	0	0.732199573	0	3
Ap2m1	0	-0.787967663	-0.916712211	1.340494823	0	0	0	0	0	3
Ap3s1	0	-0.893052896	-0.763698276	0.855548982	0	0	0	0	0	3
Apcdd1	0	-2.389372051	-1.725103107	2.584267248	0	0	0	0	0	3
Apoe	0	1.734904207	0.857223568	-0.919242441	0	0	0	0	0	3
Apoh	0	-1.328851079	-1.947621282	2.048249977	0	0	0	0	0	3
Apold1	0	-1.79448227	-1.611273969	1.667946527	0	0	0	0	0	3
Aqp1	0	-1.751364788	-1.565859775	2.732525161	0	0	0	0	0	3
Arg2	0	-1.041876421	-1.144597744	-1.459164852	0	0	0	0	0	3
Arhgap10	0	-2.712124999	-1.98741032	2.98826287	0	0	0	0	0	3
Arhgap18	0	-1.948732562	-1.318524077	2.046970785	0	0	0	0	0	3
Arhgap23	0	-1.022862997	-0.748856457	1.294585785	0	0	0	0	0	3
Arhgap28	0	-2.830986823	-1.46696602	3.352320789	0	0	0	0	0	3
Arhgap31	0	-0.890933271	-0.664339938	1.17129522	0	0	0	0	0	3
Arhgap6	0	-1.79990946	-1.081208372	2.121784659	0	0	0	0	0	3
Arhgef17	0	-2.656291245	-1.819795853	2.132329707	0	0	0	0	0	3
Arhgef28	0	-1.958553472	-1.07713009	3.366901528	0	0	0	0	0	3
Arl4d	0	0	-0.622486149	1.017399568	0	0	0	0	-0.655026014	3
Armc3	0	1.500111886	0.811838595	0	0	0	0	0.712306404	0	3
Armcx1	0	-2.410706842	-1.505332656	1.611633521	0	0	0	0	0	3
Armcx6	0	-1.180944184	-1.424481009	2.200430889	0	0	0	0	0	3
Arpc1a	0	-0.896063065	-1.018208918	1.36839778	0	0	0	0	0	3
Art2b	1.091313076	-1.188160541	0	0	0	0	0	0	-0.95431638	3
Asap1	0	-1.357345092	-0.755871088	1.011890261	0	0	0	0	0	3
Asap2	0	-1.066623645	-0.658104898	1.948579615	0	0	0	0	0	3
Aspm	0.998233428	-1.136289383	0	0	0	0	0	-0.961458068	0	3
Atox1	0	0	-1.277829041	1.396557756	0	0	0	0.78901034	0	3
Atp2b4	0.722133019	-0.881388132	0	0	0	0	0	0	0.604487791	3
Atp8a2	2.314995421	-2.344063083	0	0	0	0	0	0	-1.924946024	3
Avpi1	0	1.629170245	0.782790504	0	0	0	0	0	-0.865172406	3
AW046200	0	-1.603026951	0	0.967135241	0	0	0	0	1.26196631	3
AW112010	0.588955144	0	0	0	0	0	0	0.866473565	-0.763614777	3
Bach2	0	-0.682542856	0	-0.643457977	0	0	0	0	0.775508263	3
Baiap2	0	0.815307658	0	0	0	0	0	-0.728280252	-0.621819517	3
Bcap29	0	0	0.611692385	0	0	0	0	0.693647168	0.589869951	3
Bcas3	0	-0.631498787	-0.621548844	1.219363989	0	0	0	0	0	3
Bcas3os1	0	-1.746874737	-1.603113626	3.745831068	0	0	0	0	0	3
Bcr	0	-1.445177231	-1.126638351	1.152142061	0	0	0	0	0	3
Bean1	0	-3.359693006	-2.360446457	2.919112395	0	0	0	0	0	3
Bicd2	0	-1.408474468	-1.061590786	2.109956183	0	0	0	0	0	3
Bin2	0	-1.05754519	-0.699782516	0.655102369	0	0	0	0	0	3
Birc2	0	-0.984028608	-0.796016526	1.608910886	0	0	0	0	0	3
Bmp2	0	-1.074049199	-1.156355823	2.920399524	0	0	0	0	0	3
Btg3	0	-0.8669576	0	0.892739586	0	0	0	0	0.597460669	3
C030015A19Rik	0	0	0.67596191	-0.985308456	0	0	0	-0.959551761	0	3
C030034L19Rik	1.51533712	-1.338299123	0	1.343786492	0	0	0	0	0	3
C1qa	0	2.216275056	0	-3.440374615	0	0	0	0	-2.127030797	3
C1qb	0	1.852558785	0	-3.080731763	0	0	0	0	-1.907080325	3
C1qc	0	2.294694751	0	-3.400666103	0	0	0	0	-2.10367464	3
C530008M17Rik	0	-2.908495663	-2.186051161	2.942827772	0	0	0	0	0	3
Cacna1e	0	0.902641237	0.92139427	-0.758892837	0	0	0	0	0	3
Cacnb3	1.361978191	0	0	1.06214864	0	0	0	0	1.022278644	3
Cald1	0	-1.411350449	-1.660075872	2.754612419	0	0	0	0	0	3
Cap2	0	-2.953640816	-1.895295485	2.581893765	0	0	0	0	0	3
Capn3	0	-1.821169743	-1.55511355	2.316112821	0	0	0	0	0	3
Casp3	0	-1.284089282	-0.833367024	1.166099851	0	0	0	0	0	3
Cass4	0	-1.265774951	-1.214772736	1.529032899	0	0	0	0	0	3
Castor1	0	1.305269486	0.663344085	0	0	0	0	0	-1.117592559	3
Cat	0	-1.071280297	0	1.106691079	0	0	0	0	0.68132541	3
Cavin2	0	-2.410163135	-2.252753786	3.000948719	0	0	0	0	0	3
Cc2d2b	0	-2.727000346	-1.407819268	2.876045093	0	0	0	0	0	3
Ccdc114	0	1.572534502	0.761113059	-0.593677045	0	0	0	0	0	3
Ccdc150	0	-2.706322882	-1.955564604	2.724808274	0	0	0	0	0	3
Ccdc92	0	-2.756028666	-2.159489635	2.997928904	0	0	0	0	0	3
Ccl3	0	-0.780146108	-0.782578044	1.04488548	0	0	0	0	0	3
Ccnd3	0	-0.588661454	-0.614542098	0.710562282	0	0	0	0	0	3
Cd151	0	-1.514731017	-1.528273114	2.095164157	0	0	0	0	0	3
Cd226	0	-2.709512501	-1.457622699	2.825113149	0	0	0	0	0	3
Cd37	0	0.90208009	0.593871786	-0.8453478	0	0	0	0	0	3
Cd59a	0	-0.957054446	-0.969015121	2.209004061	0	0	0	0	0	3
Cd59b	0	-1.832528669	-1.739003928	3.255951503	0	0	0	0	0	3
Cd7	0	-1.31751736	-1.248473429	1.588748114	0	0	0	0	0	3
Cd84	0	-0.784249208	-0.67994323	1.086098124	0	0	0	0	0	3
Cd9	0	-2.138380192	-1.747644826	2.351077247	0	0	0	0	0	3
Cd99l2	0	-0.68104433	-0.681058074	1.438360206	0	0	0	0	0	3
Cdc42bpa	0	-1.924910472	-1.38070986	2.631638805	0	0	0	0	0	3
Cdc42bpb	0	-0.636103069	0	0.703159337	0	0	0	-0.708477218	0	3
Cdc42ep5	0	-3.039003189	-2.732512575	2.957587892	0	0	0	0	0	3
Cdh23	0	-1.655982713	-1.391620574	3.568700334	0	0	0	0	0	3
Ceacam10	0	-1.23160562	-1.232802611	-1.301767526	0	0	0	0	0	3
Cebpe	0	0	-1.154388386	-1.008445559	0	0	0	0	-1.247765703	3
Cep126	0	-3.541171968	-2.089852528	3.873699599	0	0	0	0	0	3
Cfap97d2	0	-2.752621174	-2.133208147	3.552376769	0	0	0	0	0	3
Cfp	0	2.008761162	0	-1.389141733	0	0	0	0	-1.098586812	3
Chst11	0	-1.602938806	-0.98313721	1.131875571	0	0	0	0	0	3
Chst12	0	-0.616679328	-0.994680641	0.990478583	0	0	0	0	0	3
Cited4	0	-1.396820563	-1.328213932	2.053085842	0	0	0	0	0	3
Ckb	0	0.749828848	0	0.66510391	0	0	0	0	-0.712187848	3
Clca3a1	0	-3.475983314	-2.516819188	2.689449246	0	0	0	0	0	3
Clcn3	0	-0.893960269	0	1.083413314	0	0	0	0	0.659305746	3
Cldn10	0	1.731223477	0.909589775	-1.07665736	0	0	0	0	0	3
Clec10a	0	1.522063445	0	0.82613055	0	0	0	0.945183494	0	3
Clec1b	0	-3.248722058	-2.656353299	2.701432641	0	0	0	0	0	3
Clec4b1	0	0.861377336	0	0.849322682	0	0	0	1.068427268	0	3
Clec4g	0	-1.016193861	-1.781117982	2.320046707	0	0	0	0	0	3
Clec9a	0	-1.063628845	-0.828929551	1.356478823	0	0	0	0	0	3
Clic4	0	-1.68901206	-0.980927818	2.106520973	0	0	0	0	0	3
Clip2	0	-1.295302013	-1.031258798	1.610297708	0	0	0	0	0	3
Clu	0	-3.425407342	-2.637670726	2.567347031	0	0	0	0	0	3
Cnih3	0	-1.332915123	-1.487092411	3.16554645	0	0	0	0	0	3
Cnst	0	-2.189185025	-1.425019881	2.138385482	0	0	0	0	0	3
Coa5	0	-1.318857261	-0.780383097	1.558196298	0	0	0	0	0	3
Cpe	0	-1.931049809	-1.747957002	2.897767974	0	0	0	0	0	3
Cpeb4	0	-1.035769275	0	0.642817874	0	0	0	0	0.933994592	3
Cplx2	-1.003456936	0.993143114	0	-1.218793225	0	0	0	0	0	3
Cpne7	1.089588829	0	0	1.057938667	0	0	0	0	-1.137681819	3
Creg1	0	-0.630712882	0	1.472571655	0	0	0	0	0.598864493	3
Cryl1	0	1.493241228	0.61796776	0	0	0	0	0	-0.595240503	3
Csf1	0.745346513	-1.114192049	-1.141911279	0	0	0	0	0	0	3
Csgalnact1	0	-3.288666741	-2.090251106	2.824832679	0	0	0	0	0	3
Csrp1	0	-1.213329585	-1.288314283	1.699688979	0	0	0	0	0	3
Cst7	0	-0.721314181	0	0.65981311	0	0	0	0	-0.950957539	3
CT010467.1	0	0	0	3.314845286	0	0	0	1.222790554	-1.788781218	3
Ctif	0	-1.614066067	-1.565568212	2.664721924	0	0	0	0	0	3
Ctla2a	0	-2.728835231	-2.525962141	2.4804447	0	0	0	0	0	3
Ctla2b	0	-1.379159068	-1.511042954	2.042360661	0	0	0	0	0	3
Ctnna1	0	-0.940523913	-0.644093936	1.107835981	0	0	0	0	0	3
Cttn	0	-2.075426293	-1.549576827	2.60527089	0	0	0	0	0	3
Ctxn1	0	-1.684672687	-1.730305755	2.644040994	0	0	0	0	0	3
Cuedc1	0	-0.993247779	-1.389903859	1.828881583	0	0	0	0	0	3
Cxcl5	0	-2.854555867	-2.387392441	2.937135837	0	0	0	0	0	3
Cxcr2	0	-1.355250255	-1.588965109	-1.236974786	0	0	0	0	0	3
Cxcr3	1.190817736	-0.916046663	0	0	0	0	0	0	-1.571384625	3
Cxcr6	1.438369235	-1.129055927	0	0	0	0	0	0	-1.920338915	3
Cyb5a	0	-1.081052998	-1.378491805	1.833566465	0	0	0	0	0	3
Cyp2b10	0	-2.805535582	-2.222028561	2.965039227	0	0	0	0	0	3
Cyp4x1	0	-3.003629832	-1.76967345	3.364962536	0	0	0	0	0	3
Cyp4x1os	0	-2.024761142	-1.669158759	2.651541561	0	0	0	0	0	3
D030025P21Rik	0	-2.311955547	-1.761459313	2.925622235	0	0	0	0	0	3
D130058E05Rik	0	-1.934902907	-1.267298574	2.299584828	0	0	0	0	0	3
D930048N14Rik	0	0.631277078	0.734450079	0	0	0	-0.60793984	0	0	3
Daam1	0	-1.172140656	-0.857083332	1.690320783	0	0	0	0	0	3
Dap	0	-2.069447909	-1.893319668	2.1091348	0	0	0	0	0	3
Dennd2c	0	-2.015420804	-1.255551395	2.247024207	0	0	0	0	0	3
Depdc1b	0	-1.665119286	-1.147965755	1.16408232	0	0	0	0	0	3
Dgkg	0	-0.999842311	-0.991973199	1.260181136	0	0	0	0	0	3
Dhcr24	0	-1.694002478	-1.475168976	2.658740166	0	0	0	0	0	3
Dhrs13	0	1.239947363	0.969326257	0	0	0	0	0	-0.970964146	3
Dhrs9	0	-2.100193448	-1.333610351	-1.707435376	0	0	0	0	0	3
Dlg2	0	-3.803102915	-2.254732886	3.157846052	0	0	0	0	0	3
Dlg4	0	-0.99316408	-0.963281049	1.87027895	0	0	0	0	0	3
Dnah17	0	-1.206702994	-1.090422599	2.279449944	0	0	0	0	0	3
Dok2	0.899599787	0	0	0.872043207	0	0	0	0	-0.597072406	3
Dpys	0	-2.434180603	-2.306430158	3.013361925	0	0	0	0	0	3
Draxin	0	-3.721899176	-2.774105128	3.066372511	0	0	0	0	0	3
Dstn	0	-0.775862647	-0.696683491	0.689276321	0	0	0	0	0	3
Dusp14	0	-2.381657943	-1.711964017	2.722492361	0	0	0	0	0	3
Dusp23	0	-1.061595634	-1.705013171	2.518153459	0	0	0	0	0	3
Dut	0	-0.730222467	-1.023619467	1.616663017	0	0	0	0	0	3
Dzip1	0	-0.951337414	-0.695038159	1.384661641	0	0	0	0	0	3
E230001N04Rik	0	0.984211852	0	-0.878985832	0	0	0	0.830085211	0	3
E330034L11Rik	0	1.126522845	0	-0.680345155	0	0	0	0	0.968152429	3
Ehd4	0	-1.110898582	-0.881599535	1.024172981	0	0	0	0	0	3
Eif1	0	0	0	0.73204364	0	0	0	0.610936835	0.646243691	3
Eif5a2	0	-2.116383179	-0.761501473	1.615620665	0	0	0	0	0	3
Eipr1	0	-0.709253785	-0.877154304	1.59756409	0	0	0	0	0	3
