	Aylor_TCDD_Male_adult	Bartolomei_BPA10mg_Male_adult	Bartolomei_BPA10ug_Male_adult	Biswal_PM2.5_Male_adult	Dolinoy_Pb_Male_adult	Dolinoy_DEHP_Male_adult	Mutlu_PM2.5_Male_adult	Zhibin_As_Male_adult	Walker_TBT_Male_adt	num
A530064D06Rik	0	0	0	0.844928161	0	0	-1.101535077	-0.708582372	-0.954396461	4
Acod1	0	0	0	2.164255001	-1.45733835	0	-1.642588488	0	-2.083767198	4
Actb	0	0.7439571	0.725699157	0.734535358	0	0	0	0	-1.017781428	4
Actr3b	0	0	0	-1.35821989	0	0	0.812211724	-0.636348197	0.8311089	4
Adcy9	0	-1.309405756	0	0	0	0	-0.94852902	0.796542515	-1.136516152	4
Afap1l1	0	-1.135076865	0	-1.031962701	0	0	0	0.770035598	-1.732268478	4
Aif1	0	0.900995274	0	1.209610847	0	0	0	-0.707315497	-0.771142822	4
Armcx1	-0.997559478	0	0	-1.044925469	0	0	-0.657817178	0	-1.237012585	4
Asns	0	0	0	-0.800599083	0	0	-1.207606121	-1.734522582	1.094023522	4
Bcap29	0	0.821079957	0.631482003	0.710535283	0	0	0	0	0.652183158	4
Cdh23	0	-0.826737273	0	-1.292584302	0	0	0	0.736966958	-1.383579706	4
Chrm3	-0.928962218	-1.022530801	0	0.757804126	0	0	0	0	-1.16339639	4
Clca3a1	0	0	1.116206823	-1.016696726	0	0	-0.662472611	0	-1.334035611	4
Col11a2	0	-0.640291849	-0.854531999	0	0.58632663	0	0	1.043407233	0	4
Cyp4b1-ps2	0	0	0	-1.744626142	0	0	-0.951841687	-0.875352606	0.634100462	4
Gad1-ps	-0.929550023	-0.838772612	0	0.829759162	0	0	-1.170974785	0	0	4
Gm10177	0	-0.921555363	0	-1.388795083	0	0	-1.038782758	-1.512709048	0	4
Gm10275	0	0.652904314	0	0.698211203	0	0	0	-0.712325905	0.698998894	4
Gm10443	0	1.087786848	0	0	0	0	0.670895152	-1.011175051	-0.668746525	4
Gm10736	0	0	-0.686810851	-1.078199722	0	-0.807529621	0	0	0.739138693	4
Gm11361	0	0.961804004	1.187246706	0	0	0	0.870861103	-1.061459616	0	4
Gm13509	0	-0.797582583	0	-1.436848386	-1.438593627	0	-0.676083081	0	0	4
Gm13680	0	1.416027726	0.740410472	0	0	0	0.765834144	-0.856626946	0	4
Gm14586	0	0.884891892	0	0	0	0	0.717139584	-0.620579091	-0.855228362	4
Gm29216	0	2.103046708	0	-1.428485224	-1.919062146	-0.956145952	0	0	0	4
Gm33707	0	-1.333359649	0	-1.14916624	-1.203996468	0	0	0	-1.299557011	4
Gm38158	0	-0.933267335	0	-1.084356209	0	0	-0.75925287	0	-1.207941214	4
Gm43197	0	0	0	0.973786384	0	0.702047368	0	0.820718972	0.643403205	4
Gm4332	0	1.301736913	1.028631307	0	0	0	0.625257706	-0.659605677	0	4
Gm44694	0	1.996502303	1.25869534	1.352161242	0	0	0	-1.570446475	0	4
Gm6055	0	-0.741498732	0	-0.862319792	-0.991872729	0	-0.607095542	0	0	4
Gm7079	0	0	1.172441511	-0.879265657	-1.735967913	0	0	0	-1.1782376	4
Gm9733	0	0.773545909	0	1.08545881	0	0	0	-0.617538919	-0.825496953	4
Gm9800	0	1.433482222	0.716088609	1.032368399	0	0	0	-0.969238561	0	4
Gm9844	0	0.678107759	0.811948005	0.937349991	0	0	0	-0.723213738	0	4
Hist2h3c2	0	0	0.986063072	-0.740525588	0	0	0	-1.428202152	-1.254830198	4
Hmgb1-ps8	0	0	0	0.907292276	0.785438402	0.696153943	0	1.202988298	0	4
Hmgn3	0	0.833371562	0.617399463	-0.598826068	0	0	0	0	-0.742020084	4
Ier3	0	0	0	0.738269442	0	0	-0.823111661	-0.736946005	-1.323522661	4
Ifitm3	0	0.732441384	0	0.877128491	0	0	0	-0.830256805	-0.928542555	4
Ifitm6	0.775092729	0.639904266	0	0.712337153	0	0	0	0	-0.706320093	4
Ifrd2	0	-0.689243007	-0.621285785	-0.927303177	0	0	-0.703285276	0	0	4
Ighv8-12	0	-1.289172663	0	0	0	0.687418842	0.726622578	0	0.814179683	4
Ighv8-8	0	-0.744840204	0	0	-1.112781574	0	0.903261001	0	0.768284727	4
Igkv1-99	0	0	0	-1.087434161	-1.031942537	0	1.039813639	0	1.175547407	4
Igkv13-85	0	0	0	0.904473914	-1.26369647	0	0.871563011	-0.863182895	0	4
Igkv17-121	0	-0.626352474	0	0	0	0	0.83697924	-0.678700838	0.980941961	4
Igkv4-59	0	-0.707919221	-0.599497838	0	0	0	0.619882123	0	1.24651046	4
Igkv5-45	0	-1.02247423	0	-0.727912384	0	0	0.605369505	-0.804720281	0	4
Igkv5-48	0	-1.000841399	0	0	0	0	0.776639776	-0.803906234	1.055286459	4
Igkv6-17	0	-0.933411554	-0.681706466	0	0	0	1.022498718	0	1.151619764	4
Igkv9-124	0	0	-0.994643103	0	0	0	0.826794832	-0.646839819	1.292383829	4
Iglc1	0	0	-0.662092855	-1.049869553	0	0	0.692822511	-0.644870106	0	4
Iglj1	0	-0.931812176	0	-0.799041937	0	0	0	-0.909649814	0.834829883	4
Iglv2	0	0	0	-0.790083787	-0.724523935	0	0.631791044	-0.597774197	0	4
Il1rn	-0.999924046	0	0	0.718233914	0	0	-0.749306239	0	-1.284597144	4
Intu	0	-0.898270791	0	-0.78883767	0	0	0	0.671913528	-1.035169292	4
Jcad	0	-1.281070941	0	-0.956648905	0	0	0	0.58906125	-0.849007526	4
Lockd	0	0	0	-1.240677855	0	0	-1.030626367	-0.843612168	0.681469429	4
Loxl3	0	-0.763769314	0	-1.000233748	0	0	-0.717168545	0	-1.149203496	4
Lrrc32	0	0	0	-1.39820309	0	0	-0.773739505	0.794090997	-1.239289105	4
Ltbp2	0	-0.985466926	0	-1.570678683	0	0	0	0.857196251	-1.440873352	4
Ly96	0	1.09493273	0.789357734	0.780580015	0	0	0	-0.891803468	0	4
Mpc2	0	0	-0.711842308	-0.717791024	0	0	-0.679601766	-0.953900796	0	4
Mst1r	0	0	0	0	1.666949618	1.128900217	0	1.56159319	-1.812489282	4
mt-Co3	0	1.649715178	1.317086098	0	0	0	0	-0.837604079	1.239048237	4
mt-Nd3	0	0.907444836	0.934642128	-1.241254437	0	0	0	-0.920117487	0	4
Nlrp3	-0.812352811	0	0	0.959140176	0	0	-1.132755265	0	-0.69664244	4
Pkd1l3	0	0	0	-0.972684466	0	0	-0.658063499	0.697523211	-1.053710739	4
Ptafr	-0.658613211	0	0	0.889937578	0	0	-0.836935681	0	-0.991663616	4
Rab44	-1.054072606	0	0	0.928380982	0	0	-1.008562064	0	-0.987549775	4
Rad23a	0	0	-0.823542084	-1.302782895	0	0	-1.000898627	-0.632749125	0	4
Rpl17-ps10	0	1.14458484	0	1.505905872	0	-1.181790474	0	-0.930502622	0	4
Rpl18-ps2	0	0	0	0	0	-0.951792106	0.636847237	-0.98595937	0.933688433	4
Rpl38-ps2	0	0.982020436	0	0.670186504	0	0	0.659441257	-0.811221171	0	4
Rpl6l	0	1.235846348	1.399931948	0.66270297	0	0	0.892752116	0	0	4
Rpl7-ps7	0	1.190575631	0.938189198	0	0	0	0	-0.813175332	0.825562086	4
Rpl9-ps6	0	0.732704261	0.752902879	0	0	0	0.6417953	-0.587931485	0	4
Rps24	0	0.783817915	0	0	0	0	0.708436707	-0.63448664	0.651317661	4
Rps25-ps1	0	1.00071833	0.823505337	0	0	0	0	-0.791029911	0.704781919	4
Sec61g	0	0	-1.008347927	-1.240613931	0	0	-0.85517799	-1.206608046	0	4
Shroom4	-0.778734557	-1.148953314	0	-1.110021743	0	0	0	0	-1.217778119	4
Skint3	0	1.007890114	0.875119583	0.680352888	0	0	0	-0.630178573	0	4
Slfn14	-0.918777539	-0.706461421	0	-0.833970463	0	0	-1.151562289	0	0	4
Slfn5	0	0.959311749	0.588235744	1.401633863	0	0	0	0	-0.672017191	4
Snx15	0	0	-0.888153234	-1.444732692	0	0	-1.003636394	-0.586547812	0	4
Socs3	0	0	0	0.616026538	0	0	-0.644680608	-0.759864059	-1.343348365	4
Spa17	0	0.796777744	0	-0.839664947	0.58930467	0	0	0	-0.776801354	4
Tie1	-0.63454707	0	0	-1.548414361	0	0	-0.589506193	0	-1.679862016	4
Timp3	0	-1.520146683	0	-1.491275426	0	1.078370107	0	0	-0.967522116	4
Tlr8	0	0	0	1.868729732	0	0.839874512	-0.730543025	0	-0.870829313	4
Trdmt1	0	0.590178288	0.710869109	0.815435346	0	0	0.659496964	0	0	4
Tspoap1	0	-0.72511634	-0.977533934	0	0	0	-0.809425491	0.818863918	0	4
Ttc16	0	-0.915412926	0	-1.610363201	0	0	0	0.712030345	-1.192439527	4
Urod	0	0	-0.732243654	-1.177217218	0	0	-0.759761214	-0.613967176	0	4
Zxdb	0	0	0.887511873	0.935135766	0	0	0	-1.150625521	1.000617068	4
1200007C13Rik	0	0	0	-1.203717722	-0.98695516	0	0	0	-1.384379034	3
1300017J02Rik	0	0	0	-2.397494824	-1.510300578	0	-2.013374232	0	0	3
1600020E01Rik	0	0	0	-0.799249775	0	0	-1.177722971	-0.609307223	0	3
1810034E14Rik	0	0.702612065	0	-0.683321237	0	0	0	0	0.650003242	3
2300009A05Rik	0	0	0	0	0	0	0.621397847	-0.653100838	0.618302661	3
2500002B13Rik	0	0	0	-1.559016043	0	0	-1.265436335	-0.698313147	0	3
2510009E07Rik	0	0	0.77084182	-0.804587325	0	0	0	0	-0.890860907	3
2700046A07Rik	0	-0.935105463	0	-0.99218052	0	0	0	0	-1.412677956	3
2900079G21Rik	0	0	1.262175452	-1.020614549	0	0	0	0	-1.310217397	3
4732465J04Rik	-1.15110241	-1.289929256	0	1.839471041	0	0	0	0	0	3
4833413G10Rik	0	0	0.733314068	-1.078387073	0	0	0	0	-1.093048525	3
4930481B07Rik	0	0	0	-0.86156938	0	0	0	0.779581518	0.680765753	3
6330403L08Rik	0	-0.949079329	0	-1.052675413	0	0	0	0	-0.961028254	3
9230111E07Rik	0	0	0	0	0.794042074	0	0.833465861	0.655530797	0	3
9330182L06Rik	0	0	0.833154324	-1.249760835	0	0	0	0	-1.239893264	3
A730089K16Rik	0	0	1.405844229	-0.747619309	0	0	0	0	-1.105240821	3
A930006K02Rik	0	-0.827727509	0	-1.528408268	0	0	-0.69333688	0	0	3
Abi2	0	0	0.618440583	-0.785853508	0	0	0	0	-1.207580058	3
AC129328.1	0	0	0.616344807	0.638683215	0	0	0	0	0.765442488	3
AC132455.1	0	-0.94589728	0	-0.871975762	-0.611005302	0	0	0	0	3
AC151410.1	0	-0.940771981	0	-0.861033103	0	0	0	0	-0.916210884	3
Acer2	0	-0.746171841	0	-0.686655104	0	0	0	0	-1.195884412	3
Ache	0	0	0	-1.15917201	0	0	0	0.600522045	-1.424963151	3
Acvrl1	0.743606205	0	0	0.685590475	0	0	0	0	-0.972550725	3
Adam8	0	0	0	0.886369678	0	0	-1.346660695	0	-1.301620008	3
Adcy5	0	0	0.764906033	-1.27721743	0	0	0	0	-1.814226003	3
Add2	0	0	0	-2.041475391	0	0	-1.565473844	-0.997817835	0	3
Adgrg1	0	0	0	-1.082891022	0	0	0	0.632670414	-1.237010825	3
AI662270	0	0	0	-0.68754211	0	0	-0.592106327	-0.619756623	0	3
Ankrd28	0	0	0.632232818	0	0	0	-0.740061748	0	-0.597448614	3
Anxa1	0	0	0	1.053951716	0	0	-0.711099683	0	-0.641320871	3
Apcdd1	0	-0.965049101	0	-0.875123872	0	0	0	0	-1.830793048	3
App	0	0	0	1.611533422	0	0	-0.684159099	0	-1.582274588	3
Arhgap33	0	0	-0.751954276	-1.274344361	0	0	0	0	0.588862964	3
Arhgap5	0	0	0.60289648	1.129631101	-0.601670989	0	0	0	0	3
Arhgap6	0	0	0.61309986	-0.670685607	0	0	0	0	-0.835183847	3
Armcx4	0	0	0	-0.753466455	0	0	-1.100132301	0.806221498	0	3
Atg4a	0	0	0	-1.079577778	0	0	-1.053346269	0	0.761689657	3
Atox1	0	0	0	-0.739456482	0	0	0	-0.59105736	-0.697316452	3
Atp11a	0	0	0	1.500768544	0	0	-1.060055904	0	-1.142716244	3
Axl	0	0.737662157	0	1.253965282	0	0	0	0	-0.748240719	3
B2m	0	0.64640219	0.656228045	0	0	0	0	0	-0.924307864	3
B4galt6	0	0	0	1.232035627	0	0	-1.207598243	-0.682926355	0	3
Bag3	0	0	0	-0.694420492	0	0	0	0.599563399	-0.806300404	3
Bcl2a1b	0	0.827313859	0	-0.69736563	0	0	0	-0.904545905	0	3
BE692007	0	0	0	1.194976586	0.662675915	0	0	0	1.070218173	3
Bean1	0	0	0.732583947	-1.586485303	0	0	0	0	-1.717545321	3
Blvrb	0	0	-0.817054157	-1.446688449	0	0	-0.809715011	0	0	3
Bola3	0	0	0	-1.640144637	0	0	-0.837654821	-0.6038905	0	3
Bst1	0	0	0	1.095821233	0	0	-0.972917127	0	-1.137830483	3
Cacna1d	0.741621804	0	0	0	0	0	1.308722817	0.743513611	0	3
Calcrl	0	0	0.698606251	0.724644474	0	0	0	0	0.624283407	3
Camp	0	-2.504126845	0	-1.911104687	0	2.436895445	0	0	0	3
Cap2	0	0	0.875828806	-0.951417954	0	0	0	0	-1.612128458	3
Capn3	0	0	0.623168618	-1.10736905	0	0	0	0	-0.92310123	3
Car1	0	0	0	-2.324891354	0	1.56963485	-1.123345336	0	0	3
Car2	0	0	0	-1.509244944	0	0	-1.478056994	-1.10298495	0	3
Cask	0	0	0	1.31781357	0	0	-0.642280463	0	-0.75821415	3
Cav1	0	0	0	-0.875148661	0	1.392260024	0	0	-1.178734917	3
Cavin2	0	0	0.954137478	-0.629241936	0	0	0	0	-1.133530921	3
Ccdc88a	0	0.806790021	0.615795497	0	0	0	-0.741586483	0	0	3
Ccl5	0	1.043097177	0	-0.93102109	0	0	0	-0.76410831	0	3
Ccndbp1	0	0	-0.834746232	-1.174342195	0	0	-0.612924781	0	0	3
Ccr6	0	0	0	0.994677251	0	0	0.680513172	0	0.83587822	3
Cd14	0	0	0	1.465573249	0	0	-1.570360597	0	-1.849881527	3
Cd226	0	-0.773460116	0.691035529	0	0	0	0	0	-0.633397028	3
Cd24a	0	0	0	-1.02797538	0	0	-0.674725683	-0.594207142	0	3
Cd300lf	0	0	0	0.853540269	0	0	-1.059498487	0	-0.797021218	3
Cd59a	0	0	0.622340098	-1.036216663	0	0	-0.593384363	0	0	3
Cd80	-0.795821534	0	0	0.715840806	0	0	-0.998123975	0	0	3
Cd93	0	0	0	0.743960592	0	0	-0.61062416	0	-1.540856514	3
Cebpb	0	0.912409025	0	0	0	0	0	-1.21104444	-0.755647756	3
Cebpd	0	0	0	0	0	0	-0.918753614	-0.740648506	-0.738877432	3
Chchd10	0	0	0	-1.134808614	0	0	0	-0.801943643	0.59699271	3
Cited4	0	0	0	-1.140376361	0	-0.59488692	0	0	-1.280210043	3
Clec4a1	0	0.674841071	0	0.929910498	0	0	0	-0.632012147	0	3
Clec4e	0	0	0	0.851133257	0	0	-1.382413625	0	-0.778701737	3
Clic5	0	-1.471780099	0	-1.290721726	0	0	-1.821795944	0	0	3
Clip2	0	-0.704534996	0	-0.997334878	0	0	0	0	-1.361321946	3
Cmas	0	0	0	-0.747506635	0	0	-0.706442895	0	0.65730201	3
Cpd	0	0	0	0.737994311	0	0	-0.848889261	0	-0.730446009	3
Cpe	0	-0.914091717	0	-1.002196046	0	0	0	0	-1.268730374	3
Cpne2	0	0	0	0.847230543	0	0.924912931	0	0	-1.460815702	3
Creb3l1	0	0	0	-1.36891336	0	0	0	0.911439382	-0.895705476	3
Crispld2	0	0	0	1.173791882	0	0	-1.456616363	0	-3.445362069	3
Csf2rb	0	0	0	0.761994103	0	0	-0.904939024	0	-0.904520913	3
Cttn	0	0	0	-0.996236959	0	0	0	0.802993757	-0.866313162	3
Ctxn1	0	0	0	-1.309838303	0	0	0	0.652801519	-1.122609221	3
Cxcl12	0	-3.97815452	0	-3.018326811	0	0	0	2.262707503	0	3
D030025P21Rik	0	-1.561764766	0	-1.48051688	0	0	0	0	-1.00071258	3
D330041H03Rik	0	0	0	0.79373821	0	0	-0.59272231	0.696578333	0	3
D930048N14Rik	0	0	0	-0.983166235	0	0	0.623424685	0.777183238	0	3
Ddx25	0	0.840942745	0	0.741501227	0	0	0.622628308	0	0	3
Dhrs11	0	0	-0.959760988	-1.690733242	0	0	-1.466402251	0	0	3
Dnah17	0	0	0	-1.240881072	0	0	-0.641361691	0	-0.886660317	3
Dock4	0	0	0	1.76828783	0	0	-0.822037921	0.75665692	0	3
Dqx1	0	-0.932057301	-0.946589178	0	0	0	-1.7247789	0	0	3
Eaf2	0	0	0	-0.711124119	0	0	0.679336954	0	0.907663478	3
Ear2	0.618312661	1.309479357	0	0	0	0	0.718526638	0	0	3
Ecm1	0	0	0	-0.980483108	0	0	0	0.865469801	-1.232851437	3
Eif5a2	0	0	0.705474159	-0.61708239	0	0	0	0	-0.614661734	3
Elovl7	0	0	0.759947525	-0.676234773	0	0	0	0	-0.979080044	3
Entpd1	0	0	0	0.642454359	0	0	-0.93944637	0	-0.675678488	3
Ergic1	0	-0.693426309	0	-0.851788708	0	0	0	0	-0.82292794	3
Esco2	0	0	0	-1.182474111	0	0	-0.932154895	-1.087054846	0	3
Espn	0	0	0	0.94696782	0	0	0	0.825887857	-1.026572051	3
Exoc3l4	0	0	0.910645503	-1.191524064	0	0	-0.930703839	0	0	3
F13a1	0	0	0.81466458	1.411230448	0	0	0	0	-1.517336215	3
F2rl3	0	0	0	-1.298189717	0	0	-0.741898764	0	-1.189958595	3
F5	0	0	0.749414146	0	0	0	0	0.795314263	-1.358035024	3
Fabp2	0.846548641	0	0	0	0	0	-2.945808824	0.741148884	0	3
Fam110b	-0.728162512	0	0	-0.767840901	0	0	0	0	-1.232622711	3
Fam131b	0	-1.366555099	0	-1.44667105	0	0	0	0	-1.182858578	3
Fbxo2	0	0	0.728341845	-1.073999049	0	0	0	0	-1.419350135	3
Fgg	0.648716135	0.984180125	0	0	0	0	0	1.197683621	0	3
Fgl2	-0.646636738	0	0	1.268497942	0	0	-0.90311618	0	0	3
Fkbp5	0	0	0	0.893858337	0	0	-1.086006733	0	-0.984342952	3
Fosl2	0	0	0	1.086211872	0	0	-0.702145665	0	-0.895137924	3
Foxo4	0	-0.670291021	0	-0.855112169	0	0	-0.675284188	0	0	3
Gabarapl2	0	-0.815783991	-0.866945271	-1.047359919	0	0	0	0	0	3
Gad1	0	0	0.711122133	-0.792803911	0	0	0	0	-0.673598971	3
Gata2	0	-0.605581233	0	-0.992098958	0	0	0	0	-0.648720654	3
Gbp7	0	0	0	0.750169755	-0.640372184	0	-0.647439076	0	0	3
Gcnt2	0	0	0	0.596893534	0	0	-0.795400622	0	-0.862263701	3
Gcsam	0	0	0	-0.894326115	0	0	-0.924611048	0	-0.872761042	3
Glrx5	0	0	0	-1.244776707	0	0	-0.688287761	-1.153144449	0	3
Gm10080	0	0	0.992364755	-1.404061254	0	-0.656420621	0	0	0	3
Gm10123	0	0	0.596420424	0.661567821	0	0	0	0	-0.635628071	3
Gm10369	0	-1.142960179	0	-2.08839417	0	0	0	1.029651354	0	3
Gm10521	0	-0.636740025	0	1.369106337	0	0	-0.641517827	0	0	3
Gm11478	0	1.169185439	0	0	0	0	0.639500872	-0.673463642	0	3
Gm12191	0	0	0.743167123	0.766594436	0	0	0	-1.051656478	0	3
Gm12396	0	0.679274002	0.77028632	0	0	0	0	-0.775248386	0	3
Gm12715	0	0	0.784672382	0	-0.71694175	0	0	0	-1.431049321	3
Gm13212	0	0	0.881935514	0.821961843	0	0	0	0	0.663771464	3
Gm13341	0	1.54996238	0	0	-1.345791421	0	0	-0.791333799	0	3
Gm13835	0	1.135923435	0.791009599	0.59669516	0	0	0	0	0	3
Gm13919	0	0	0	-0.8500301	0	0	0.812605437	0	0.833763005	3
Gm14165	0	1.228526218	0	-1.205432153	0	0	0	-0.882781516	0	3
Gm14681	0	1.028167777	0.778161725	1.179838042	0	0	0	0	0	3
Gm14719	0	0	0	-0.787968633	0	0	0	-0.965841131	-1.188777554	3
Gm15411	0	0	0	1.198412495	0	0	0.773745068	0	0.875257966	3
Gm15564	0	0	-1.201720449	-2.459900624	0	0	0	0	-2.992080288	3
Gm15922	0	-0.99374385	0	1.009397056	-0.744719615	0	0	0	0	3
Gm16001	0	-0.861840052	0	-1.234620854	0	0	0	0.762392296	0	3
Gm16120	0	0	0	0	0.851097664	0.862045719	0	-1.024950248	0	3
Gm16556	-0.769508458	0	0	0	0.824327364	0	-0.668129605	0	0	3
Gm17147	0	-1.398056682	0	-0.971074299	-0.96486301	0	0	0	0	3
Gm17275	0	0	0	4.129471002	0	0	0	-1.077182217	-1.273126768	3
Gm17511	0	1.456511332	1.432440246	-1.123730179	0	0	0	0	0	3
Gm1821	0	-0.806937579	0	0	-0.747088242	0	-0.808335273	0	0	3
Gm20056	0	0	0	-0.982729265	-0.965607269	0	0	0	-0.990313298	3
Gm21781	0	0	0	0	0	0	0.837722986	0.77962005	0.8538492	3
Gm23935	0	0	-1.057881456	-0.886884178	0	-1.143570762	0	0	0	3
Gm24187	0	0	-1.318528133	-1.426625826	0	0	0	0	-2.188156817	3
Gm24245	0	0	0	0	-1.461179694	-1.753311717	0	0	-4.218156927	3
Gm24270	0	0	-1.262606088	0	0	-1.334122003	0	0	-1.610899426	3
Gm27477	0	0	0	-1.361765304	0.839763733	0	0	0	-1.023802908	3
Gm28439	0	2.259140637	1.402792984	-0.887930865	0	0	0	0	0	3
Gm30054	0	0	-0.667515809	0	0	0	0.661088642	0	0.758212202	3
Gm31105	0	0	0.909163147	-1.008602581	0	0	0	0	-1.093337632	3
Gm32051	0	0	0	-1.278135597	0	0	-0.725521961	0	1.171365074	3
Gm34084	0	0	0	0.87396318	0	0	-0.607852855	-0.77397425	0	3
Gm34276	0	0	0	-0.893311996	0	0	0	-0.710937054	-1.012789888	3
Gm3531	0	0	0.643215914	0.724488209	0	0	0	-0.871770717	0	3
Gm36445	0	0	0	0.719493476	0	0	0	0.826723067	0.872255508	3
Gm3699	0	0	0	-1.895462395	-0.767298525	0	0	-1.029792478	0	3
Gm38244	0	0	0	1.132868516	0	0	0	-0.711598546	-0.960700541	3
Gm38394	0	0	0	1.067989332	1.254005265	1.065849132	0	0	0	3
Gm39321	-0.960562544	0	0	1.031504564	0	0	-0.835831402	0	0	3
Gm42502	0	-1.161694987	0	1.75872745	0	0	0	0	-1.611695176	3
Gm4262	0	0	0	-0.902483635	0	0	0	0.727930246	-1.075581267	3
Gm42664	0	0	0	1.023186547	0	1.428979171	0	0	0.77989361	3
Gm42870	0	0	0	0.704354025	0	0	0	0.723653717	0.925922246	3
Gm43813	0	1.142584377	0	0	0	0	1.061310235	0	0.954305183	3
Gm44284	0	-1.250701964	0	-1.27307292	0	0	0	0	-1.284439256	3
Gm4489	0	0	0	-0.984727525	0	0	0	0.715444278	-1.282852798	3
Gm44891	0	0	0	-1.199467857	0	0	1.172602528	0	1.340178234	3
Gm45620	0	0	0	-1.099447711	0	0	-0.591316839	0	-1.173565112	3
Gm45705	0	0	0	-1.30410146	0	0	-0.59962051	0	-1.414956191	3
Gm45716	0	0	0.666229957	-0.691807477	0	0	0	0	-0.996506054	3
Gm4617	0	0	0	1.073337885	0	0	0	-1.096006817	-1.042436573	3
Gm5150	-0.602372437	0	0	1.070336372	0	0	-0.784382937	0	0	3
Gm5864	0	0	0.848507587	-1.375292841	0	0	0	0	-1.067147405	3
Gm6030	0	1.220985942	0	0	-0.905714179	0	0	-0.923230482	0	3
Gm6170	0	0	0.878861438	0	-1.289216703	0	0	0	0.981823859	3
Gm6180	0	0	0.973316568	0	-0.810536526	0	0	0	-0.955839564	3
Gm6204	0	0	0	1.256689228	0	0	0.752773187	-1.146424718	0	3
Gm6451	0	1.10729732	0	0	-0.889943934	0	0	-0.793516092	0	3
Gm8186	0	0	0	0	0	0	0.706569597	-1.090594277	0.7181699	3
Gm8430	0	0.898001281	0	0.676290218	0	0	0	-0.748812113	0	3
Gm8730	0	0.83134657	0.814585684	0	0	0	0	-0.743651717	0	3
Gm8822	0	0	0.783191596	1.194610708	-1.079479925	0	0	0	0	3
Gm9493	0	0.990025209	0	0	0	0	0.646661131	-0.608124645	0	3
Gm9616	0	0	0.70185082	0.618751787	0	0	0	-0.599593656	0	3
Gm9762	0	0	0.805534197	1.553560038	0	0	0	0	0.839901756	3
Gm9821	0	-1.21260464	0	1.419250147	0	0	0	0	-1.485673616	3
Gm9843	0	1.025770155	0.78973167	0	0	0	0	-0.926243268	0	3
Gnaz	0	0	0.698856355	-0.914314796	0	0	0	0	-1.543942382	3
Gp1ba	0	0	0	-1.046664602	0	0	0	0.892418536	-0.787065071	3
Gp1bb	0	0	0.802754868	-1.891079141	0	0	0	0	-1.957605048	3
Gp6	0	0	0.919634902	-0.616653587	0	0	0	0	-1.128900569	3
Gpd1	0	0	0	-1.531535197	0	0	-1.286622419	0	1.469810301	3
Gpx1	0	0	-0.672272824	-0.723515518	0	0	0	-0.661299209	0	3
Gsr	0	0.634465272	0	0.839163299	0	0	0	0	-0.868442124	3
Gucy1a1	-0.677642427	0	0	-0.793117263	0	0	0	0	-1.263638602	3
Gypa	0	0	0	-1.300374457	0	0	-1.494653378	-1.113623441	0	3
