	AL_TCDD_M_Bl_adt	BA_BPA10mg_M_Bl_adt	BA_BPA10ug_M_Bl_adt	BI_PM2.5_M_Bl_adt	DO_Pb_M_Bl_adt	DO_DEHP_M_Bl_adt	MU_PM2.5_M_Bl_adt	ZB_As_M_Bl_adlt	WK_TBT_M_Bl_adt
Zfp182	0	0	0	0	0	0	0	0	0.701379771
Igkv19-93	0	0	0	0	0	0	0	0	0.700315598
Epm2aip1	0	0	0	0	0	0	0	0	0.698421309
A430078G23Rik	0	0	0	0	0	0	0	0	0.695629521
Lnpk	0	0	0	0	0	0	0	0	0.693256142
Zfp882	0	0	0	0	0	0	0	0	0.691633352
Slc5a3	0	0	0	0	0	0	0	0	0.690925458
Zfp932	0	0	0	0	0	0	0	0	0.687912063
Rfx7	0	0	0	0	0	0	0	0	0.687868752
Zadh2	0	0	0	0	0	0	0	0	0.687306552
Mars2	0	0	0	0	0	0	0	0	0.686096316
Gm1043	0	0	0	0	0	0	0	0	0.685394531
Lzic	0	0	0	0	0	0	0	0	0.685313476
Cd55	0	0	0	0	0	0	0	0	0.684785261
Fyttd1	0	0	0	0	0	0	0	0	0.68360288
Pds5b	0	0	0	0	0	0	0	0	0.682582995
2310057M21Rik	0	0	0	0	0	0	0	0	0.682433875
Wrb	0	0	0	0	0	0	0	0	0.680158388
1700066M21Rik	0	0	0	0	0	0	0	0	0.679755056
Timm9	0	0	0	0	0	0	0	0	0.677262251
Fastkd1	0	0	0	0	0	0	0	0	0.676914259
Morc3	0	0	0	0	0	0	0	0	0.675732377
Scn4a	0	0	0	0	0	0	0	0	0.67481033
Rel	0	0	0	0	0	0	0	0	0.674355631
Tmem60	0	0	0	0	0	0	0	0	0.672533919
Ripor1	0	0	0	0	0	0	0	0	0.669666769
Cyp4v3	0	0	0	0	0	0	0	0	0.667659935
Aasdhppt	0	0	0	0	0	0	0	0	0.667578361
Hadhb	0	0	0	0	0	0	0	0	0.666327671
Nup43	0	0	0	0	0	0	0	0	0.666015468
Qdpr	0	0	0	0	0	0	0	0	0.664440241
Asf1a	0	0	0	0	0	0	0	0	0.663026498
Tcea1	0	0	0	0	0	0	0	0	0.662692475
Ccnk	0	0	0	0	0	0	0	0	0.662310499
Spop	0	0	0	0	0	0	0	0	0.662184876
Ifi203	0	0	0	0	0	0	0	0	0.660989795
Heg1	0	0	0	0	0	0	0	0	0.66078369
Atl2	0	0	0	0	0	0	0	0	0.658822067
Zfp54	0	0	0	0	0	0	0	0	0.657882023
Zfp606	0	0	0	0	0	0	0	0	0.657198812
Sgcb	0	0	0	0	0	0	0	0	0.655182263
Nek1	0	0	0	0	0	0	0	0	0.654259417
Tia1	0	0	0	0	0	0	0	0	0.653738273
Jpx	0	0	0	0	0	0	0	0	0.652759411
Zfp472	0	0	0	0	0	0	0	0	0.65227793
Ms4a4b	0	0	0	0	0	0	0	0	0.651201238
Zcchc10	0	0	0	0	0	0	0	0	0.647278825
E2f5	0	0	0	0	0	0	0	0	0.645581312
Nkiras1	0	0	0	0	0	0	0	0	0.645547999
Papolg	0	0	0	0	0	0	0	0	0.64350888
Ipo13	0	0	0	0	0	0	0	0	0.642433719
Alg2	0	0	0	0	0	0	0	0	0.642331206
Coq8a	0	0	0	0	0	0	0	0	0.641713985
Gabbr1	0	0	0	0	0	0	0	0	0.641443032
Alkbh8	0	0	0	0	0	0	0	0	0.640969192
AC163032.1	0	0	0	0	0	0	0	0	0.640841024
Rbm4b	0	0	0	0	0	0	0	0	0.640463698
Dnmt3b	0	0	0	0	0	0	0	0	0.640267447
Eed	0	0	0	0	0	0	0	0	0.635942098
Zfp60	0	0	0	0	0	0	0	0	0.635397599
AW146154	0	0	0	0	0	0	0	0	0.63532211
Cry2	0	0	0	0	0	0	0	0	0.634391802
Btla	0	0	0	0	0	0	0	0	0.632603706
Tra2b	0	0	0	0	0	0	0	0	0.629983994
Sidt1	0	0	0	0	0	0	0	0	0.628527954
Ppcs	0	0	0	0	0	0	0	0	0.625814762
Dhx9	0	0	0	0	0	0	0	0	0.624952322
Gpr155	0	0	0	0	0	0	0	0	0.624840001
Gorab	0	0	0	0	0	0	0	0	0.624543737
Hsd17b7	0	0	0	0	0	0	0	0	0.623886768
Hdhd2	0	0	0	0	0	0	0	0	0.623321927
Zfp607a	0	0	0	0	0	0	0	0	0.623312667
Rrm2b	0	0	0	0	0	0	0	0	0.623251434
Sft2d3	0	0	0	0	0	0	0	0	0.621816943
Rbm4	0	0	0	0	0	0	0	0	0.621224473
Gm27003	0	0	0	0	0	0	0	0	0.620953852
Lin9	0	0	0	0	0	0	0	0	0.618861093
Cstf3	0	0	0	0	0	0	0	0	0.617503936
Pprc1	0	0	0	0	0	0	0	0	0.616150287
Alkbh1	0	0	0	0	0	0	0	0	0.614702531
Slc25a42	0	0	0	0	0	0	0	0	0.61313465
Nup35	0	0	0	0	0	0	0	0	0.610667612
Nfat5	0	0	0	0	0	0	0	0	0.609609235
Fam169b	0	0	0	0	0	0	0	0	0.60948099
C920009B18Rik	0	0	0	0	0	0	0	0	0.609267622
Gm42547	0	0	0	0	0	0	0	0	0.609069062
Cars	0	0	0	0	0	0	0	0	0.608543129
3110056K07Rik	0	0	0	0	0	0	0	0	0.608324033
Dpp4	0	0	0	0	0	0	0	0	0.607612056
Dus4l	0	0	0	0	0	0	0	0	0.607019376
Vrk2	0	0	0	0	0	0	0	0	0.606403136
Mat2b	0	0	0	0	0	0	0	0	0.60518818
Vamp1	0	0	0	0	0	0	0	0	0.604465532
Zfp626	0	0	0	0	0	0	0	0	0.603343043
Stk38l	0	0	0	0	0	0	0	0	0.60293996
Slamf6	0	0	0	0	0	0	0	0	0.602683465
Pdss2	0	0	0	0	0	0	0	0	0.60260817
Tfap4	0	0	0	0	0	0	0	0	0.601807128
Angel1	0	0	0	0	0	0	0	0	0.601764799
Tdrp	0	0	0	0	0	0	0	0	0.59958073
Usp28	0	0	0	0	0	0	0	0	0.599249684
Sirt4	0	0	0	0	0	0	0	0	0.598855722
Zfp874b	0	0	0	0	0	0	0	0	0.598710271
Alg13	0	0	0	0	0	0	0	0	0.598119855
Nkrf	0	0	0	0	0	0	0	0	0.598085831
Cacnb1	0	0	0	0	0	0	0	0	0.597891907
Ifi214	0	0	0	0	0	0	0	0	0.597528765
Zfp418	0	0	0	0	0	0	0	0	0.59738533
Sike1	0	0	0	0	0	0	0	0	0.597015506
Fancm	0	0	0	0	0	0	0	0	0.595321447
Prpf39	0	0	0	0	0	0	0	0	0.595093449
Gata3	0	0	0	0	0	0	0	0	0.594918596
Zfp862-ps	0	0	0	0	0	0	0	0	0.594584739
Zfp958	0	0	0	0	0	0	0	0	0.594344466
Rhot1	0	0	0	0	0	0	0	0	0.593839481
Zfp398	0	0	0	0	0	0	0	0	0.593461736
Traf5	0	0	0	0	0	0	0	0	0.592948681
Slc30a4	0	0	0	0	0	0	0	0	0.592039036
Pcca	0	0	0	0	0	0	0	0	0.59192926
Cnot6l	0	0	0	0	0	0	0	0	0.591753572
Ppp2r2a	0	0	0	0	0	0	0	0	0.591670092
Shprh	0	0	0	0	0	0	0	0	0.590808462
Rdh14	0	0	0	0	0	0	0	0	0.590399372
Arhgap17	0	0	0	0	0	0	0	0	0.590338229
Setd1b	0	0	0	0	0	0	0	0	0.590239543
Gm32401	0	0	0	0	0	0	0	0	0.589403502
N6amt1	0	0	0	0	0	0	0	0	0.589221906
Rras2	0	0	0	0	0	0	0	0	0.588882654
Ino80dos	0	0	0	0	0	0	0	0	0.588758639
Pdp2	0	0	0	0	0	0	0	0	0.587671711
Wdr12	0	0	0	0	0	0	0	0	0.587261071
Zfp933	0	0	0	0	0	0	0	0	0.5870034
Pbrm1	0	0	0	0	0	0	0	0	0.586345253
Syncrip	0	0	0	0	0	0	0	0	0.585466661
Miga1	0	0	0	0	0	0	0	0	0.585254973
Rps7	0	0	0	0	0	0	0	0	0.584974356
Prss34	0	0	0	0	0	0	0	2.418912597	0
Pck1	0	0	0	0	0	0	0	2.31989115	0
Lmntd2	0	0	0	0	0	0	0	2.227236671	0
Cyp2e1	0	0	0	0	0	0	0	2.14820344	0
Colec12	0	0	0	0	0	0	0	1.918998979	0
Serpinc1	0	0	0	0	0	0	0	1.840914471	0
Mat1a	0	0	0	0	0	0	0	1.710410339	0
Rsph10b	0	0	0	0	0	0	0	1.57437888	0
Slc25a27	0	0	0	0	0	0	0	1.501142537	0
Mamdc4	0	0	0	0	0	0	0	1.454966742	0
Rorc	0	0	0	0	0	0	0	1.414129128	0
Ces1c	0	0	0	0	0	0	0	1.414027229	0
Gc	0	0	0	0	0	0	0	1.413637951	0
Sult1a1	0	0	0	0	0	0	0	1.408925655	0
Gm38399	0	0	0	0	0	0	0	1.315733092	0
Syde1	0	0	0	0	0	0	0	1.285034162	0
Gnmt	0	0	0	0	0	0	0	1.216056285	0
A630023P12Rik	0	0	0	0	0	0	0	1.203899101	0
Ttc12	0	0	0	0	0	0	0	1.191507622	0
Phldb1	0	0	0	0	0	0	0	1.18390565	0
Gm37176	0	0	0	0	0	0	0	1.153276455	0
Aoc2	0	0	0	0	0	0	0	1.110357464	0
Dnhd1	0	0	0	0	0	0	0	1.10208476	0
Tert	0	0	0	0	0	0	0	1.081809534	0
Hsf4	0	0	0	0	0	0	0	1.079052363	0
Mxra8	0	0	0	0	0	0	0	1.067356101	0
2700099C18Rik	0	0	0	0	0	0	0	1.062304788	0
1810055G02Rik	0	0	0	0	0	0	0	1.0589565	0
Gipc3	0	0	0	0	0	0	0	1.057847571	0
Gm19684	0	0	0	0	0	0	0	1.051616408	0
Gm7353	0	0	0	0	0	0	0	1.051601452	0
Kank3	0	0	0	0	0	0	0	1.039306496	0
Gm37233	0	0	0	0	0	0	0	1.037632097	0
Nuf2	0	0	0	0	0	0	0	1.017343038	0
Dock6	0	0	0	0	0	0	0	1.011395332	0
Mss51	0	0	0	0	0	0	0	1.006048971	0
A630089N07Rik	0	0	0	0	0	0	0	1.001425836	0
Prkg1	0	0	0	0	0	0	0	1.000612592	0
Hypk	0	0	0	0	0	0	0	0.999519499	0
Gm39323	0	0	0	0	0	0	0	0.999262613	0
Zscan18	0	0	0	0	0	0	0	0.990288852	0
Ramp3	0	0	0	0	0	0	0	0.989130406	0
Gm29666	0	0	0	0	0	0	0	0.988463605	0
Gm37261	0	0	0	0	0	0	0	0.973059855	0
Sorbs3	0	0	0	0	0	0	0	0.967663387	0
Serpina1b	0	0	0	0	0	0	0	0.955622882	0
4632427E13Rik	0	0	0	0	0	0	0	0.939277678	0
Ankrd13b	0	0	0	0	0	0	0	0.937073816	0
Mtcp1	0	0	0	0	0	0	0	0.927200993	0
Atat1	0	0	0	0	0	0	0	0.91358791	0
Il1rl2	0	0	0	0	0	0	0	0.908579651	0
Tchp	0	0	0	0	0	0	0	0.89761113	0
Gm47015	0	0	0	0	0	0	0	0.887346036	0
Tnfrsf4	0	0	0	0	0	0	0	0.88603604	0
Fbxo17	0	0	0	0	0	0	0	0.884459327	0
Abcc3	0	0	0	0	0	0	0	0.884310514	0
9330151L19Rik	0	0	0	0	0	0	0	0.880348547	0
Ceacam16	0	0	0	0	0	0	0	0.878559491	0
Nckap5l	0	0	0	0	0	0	0	0.876692273	0
Zfp661	0	0	0	0	0	0	0	0.874686778	0
Slc27a3	0	0	0	0	0	0	0	0.873161007	0
Btnl2	0	0	0	0	0	0	0	0.858151962	0
Mtmr11	0	0	0	0	0	0	0	0.85508438	0
Cdc20b	0	0	0	0	0	0	0	0.8522109	0
BC005561	0	0	0	0	0	0	0	0.84732969	0
Pvrig	0	0	0	0	0	0	0	0.842470311	0
Gm12258	0	0	0	0	0	0	0	0.830012481	0
Zfp28	0	0	0	0	0	0	0	0.829364012	0
Cep250	0	0	0	0	0	0	0	0.828558853	0
Ssh3	0	0	0	0	0	0	0	0.824449786	0
Nhej1	0	0	0	0	0	0	0	0.823763989	0
Tmem150a	0	0	0	0	0	0	0	0.818944979	0
Appl2	0	0	0	0	0	0	0	0.80468588	0
Cracr2a	0	0	0	0	0	0	0	0.803225786	0
Pfkfb1	0	0	0	0	0	0	0	0.802733233	0
Hook2	0	0	0	0	0	0	0	0.798910621	0
Lrig1	0	0	0	0	0	0	0	0.797119859	0
Thsd1	0	0	0	0	0	0	0	0.792266896	0
Gm42047	0	0	0	0	0	0	0	0.792170081	0
Mapkbp1	0	0	0	0	0	0	0	0.784926055	0
Gramd1b	0	0	0	0	0	0	0	0.783042988	0
St5	0	0	0	0	0	0	0	0.768995025	0
Recql4	0	0	0	0	0	0	0	0.765249331	0
Gm44777	0	0	0	0	0	0	0	0.764631578	0
Mks1	0	0	0	0	0	0	0	0.763760565	0
Srrm2	0	0	0	0	0	0	0	0.761587845	0
9930012K11Rik	0	0	0	0	0	0	0	0.760644116	0
Gm15545	0	0	0	0	0	0	0	0.7530746	0
Sfi1	0	0	0	0	0	0	0	0.736443565	0
Wwox	0	0	0	0	0	0	0	0.732036405	0
Hivep3	0	0	0	0	0	0	0	0.729445018	0
Flt3l	0	0	0	0	0	0	0	0.725042258	0
Cntrl	0	0	0	0	0	0	0	0.723187405	0
Foxd2os	0	0	0	0	0	0	0	0.721171538	0
Akap9	0	0	0	0	0	0	0	0.718777165	0
Bsn	0	0	0	0	0	0	0	0.717220491	0
Zfp827	0	0	0	0	0	0	0	0.717007986	0
Jrk	0	0	0	0	0	0	0	0.716645719	0
Syne2	0	0	0	0	0	0	0	0.714404018	0
Trim34b	0	0	0	0	0	0	0	0.713336971	0
Spen	0	0	0	0	0	0	0	0.709264701	0
Mirt1	0	0	0	0	0	0	0	0.704927204	0
Ikbke	0	0	0	0	0	0	0	0.699599888	0
Bora	0	0	0	0	0	0	0	0.697078939	0
Slc26a11	0	0	0	0	0	0	0	0.69701039	0
Bcorl1	0	0	0	0	0	0	0	0.694997692	0
Zgpat	0	0	0	0	0	0	0	0.69327298	0
5830417I10Rik	0	0	0	0	0	0	0	0.692548223	0
Eme2	0	0	0	0	0	0	0	0.691659398	0
L1cam	0	0	0	0	0	0	0	0.69144881	0
Lmf1	0	0	0	0	0	0	0	0.68928473	0
Rab11fip3	0	0	0	0	0	0	0	0.683357493	0
BC017158	0	0	0	0	0	0	0	0.683019142	0
Sdr42e1	0	0	0	0	0	0	0	0.682429725	0
Lrrc56	0	0	0	0	0	0	0	0.680373374	0
Sco2	0	0	0	0	0	0	0	0.679633754	0
Abcc10	0	0	0	0	0	0	0	0.671988644	0
Cd46	0	0	0	0	0	0	0	0.666166045	0
1810043G02Rik	0	0	0	0	0	0	0	0.656135665	0
Bicra	0	0	0	0	0	0	0	0.651230853	0
Whrn	0	0	0	0	0	0	0	0.650283136	0
Slc38a7	0	0	0	0	0	0	0	0.649074929	0
Cyp1a2	0	0	0	0	0	0	0	0.647675776	0
Kyat1	0	0	0	0	0	0	0	0.64592099	0
Akap8l	0	0	0	0	0	0	0	0.645463651	0
Celsr1	0	0	0	0	0	0	0	0.644477495	0
Agbl5	0	0	0	0	0	0	0	0.643529991	0
Dot1l	0	0	0	0	0	0	0	0.642209011	0
Camk4	0	0	0	0	0	0	0	0.642206555	0
Golga1	0	0	0	0	0	0	0	0.637076909	0
Mcoln1	0	0	0	0	0	0	0	0.634165283	0
Gm49338	0	0	0	0	0	0	0	0.633401002	0
Gbp8	0	0	0	0	0	0	0	0.631853123	0
Dnah8	0	0	0	0	0	0	0	0.631264428	0
Sik3	0	0	0	0	0	0	0	0.631061239	0
Zfp382	0	0	0	0	0	0	0	0.629224448	0
Polq	0	0	0	0	0	0	0	0.629059429	0
Ncoa6	0	0	0	0	0	0	0	0.627909354	0
Gm45548	0	0	0	0	0	0	0	0.627827294	0
Adcy7	0	0	0	0	0	0	0	0.62638767	0
Pnpla6	0	0	0	0	0	0	0	0.626379766	0
Zfp512b	0	0	0	0	0	0	0	0.626125085	0
Kmt2a	0	0	0	0	0	0	0	0.624614447	0
Zfp287	0	0	0	0	0	0	0	0.62283764	0
Odf2	0	0	0	0	0	0	0	0.622648544	0
Telo2	0	0	0	0	0	0	0	0.620981171	0
Snx32	0	0	0	0	0	0	0	0.617811482	0
Tfcp2	0	0	0	0	0	0	0	0.617549575	0
Zfp760	0	0	0	0	0	0	0	0.613771947	0
Ascc2	0	0	0	0	0	0	0	0.609730434	0
Med12	0	0	0	0	0	0	0	0.609706349	0
Kdm8	0	0	0	0	0	0	0	0.606257295	0
Ankrd16	0	0	0	0	0	0	0	0.601705072	0
Ankrd39	0	0	0	0	0	0	0	0.598389559	0
Ncapg2	0	0	0	0	0	0	0	0.594952013	0
