Aylor_TCDD_Female_adult_blood	Aylor_TCDD_Female_adult_liver	Bartolomei_BPA10mg_Female_adult_blood	Bartolomei_BPA10mg_Female_adult_liver	Bartolomei_BPA10ug_Female_adult_blood	Bartolomei_BPA10ug_Female_adult_liver	Biswal_PM2.5_Female_adult_blood	Biswal_PM2.5_Female_adult_liver	Dolinoy_DEHP_Female_adult_blood	Dolinoy_DEHP_Female_adult_liver	Dolinoy_Pb_Female_adult_blood	Dolinoy_Pb_Female_adult_liver	Mutlu_PM2.5_Female_adult_blood	Mutlu_PM2.5_Female_adult_liver	Walker_TBT_Female_adult_blood	Walker_TBT_Female_adult_liver	Zhibin_As_Female_adult_blood	Zhibin_As_Female_adult_liver	Type
Myo1e	0	0	0	0	0	0	-0.872782069717963	-0.889704090382959	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Adh1	0	0	0	0	0	0	-1.26736934804842	-0.626374608101711	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Serpina3f	0	0	0	0	0	0	-1.41316912837147	-0.648085946763715	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Cbarp	0	0	0.717783581763343	0	0	0	-0.656695183135926	-0.661785159671143	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Scaper	0	0	0.728663848376331	0	0	0	-0.977600821566027	-0.622211613729709	0	0	0	0	0	0	0.5867153528147	0	0	0	Biswal_PM2.5_Female
Cd74	0	0	0.641518294946115	0	0	0	-0.945818783368021	-0.675115076354573	0	0	0	0.720167100342223	0	0	0	0	0	-0.983711950889732	Biswal_PM2.5_Female
Arhgap24	0	0	0	0	0	0	-0.612853457958654	-0.591420940417376	0	0	0	0	0	0.636727997719948	0	0	0	-0.682649893495707	Biswal_PM2.5_Female
Ephx1	0	0	0	0	0	0	-0.796939617856242	-0.896135005541649	0	0	0	0	0	0	0	0.721027227555656	0	-0.785139752846569	Biswal_PM2.5_Female
Cerkl	0	0	0	0.663079773779765	0	0	-1.39728115513137	1.17250950507665	0	0	0	0	0	0	0	0	0	1.51120234510873	Biswal_PM2.5_Female
Bhlhb9	0	0	-0.715082975558002	0	0	0	-1.22251054530023	0.738481577832297	0	0	0	0	0	0	0	0	0	1.03104976368093	Biswal_PM2.5_Female
Rsad1	0	0	0	0	0	0	-0.641454722598404	0.633085343520103	0	0	0	0	0	0	0	0	0	0.801952446415472	Biswal_PM2.5_Female
Extl1.1	0	0	0.917125520244352	0	1.06481683157261	-1.03648472561321	-0.950505428719842	1.10198450324244	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Sspn	0	0	0.836574756669579	0	0.79181586304304	0	-1.36009262560936	0.631416990650266	0	0	0	-0.901784302001057	0	0	0	0	0	0	Biswal_PM2.5_Female
Cd24a	0	0	0	0	0	0	-0.849186671227768	0.61412672512767	0	0	0	0	0	0	0.591458661617376	0.684998218737504	0	-0.887116903305393	Biswal_PM2.5_Female
Cd36	0	0	0	0	0	0	-0.737561582227882	0.822143557864638	0	0	0	0	0	0	0.75175771853929	0.878889337042499	0	0	Biswal_PM2.5_Female
Syvn1	0	0.62639672521913	0	0	0	0	-0.733256625338463	0.729940928820587	0	0	0	0	0	-0.65052857475067	0	0	0	-0.660254746967984	Biswal_PM2.5_Female
1810055G02Rik	0	0.742336708934484	0	0	0	0	-1.11814656814046	0.959860691148863	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Rab30	0	0.83603417929348	0	0	0	0	-0.720023741557578	1.02141864164632	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
AU041133	0	0	-0.822679294580804	0	0	0	-1.14905862845008	0.766636603617566	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Fdps	0	0	0	0	0	0	-0.870726944019392	0.659024833318521	0	0	0	0	0	0	0	-0.769355114205744	0	0	Biswal_PM2.5_Female
Lynx1	0	0	0	0	0	0	-1.11736735762976	0.694014024342323	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Nme6	0	0	0	0	0	0	-0.823604104839318	0.759786390377286	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Serpinb1a	0	0	0	0	0	0	-0.611862195654521	0.709456513106703	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Ly6d	0	0	0.838679003251086	0	0	0	-1.25385765558016	1.52758493804943	0	0	0	1.56181926311466	0	0	-0.64999787550983	1.50794919608602	0	0	Biswal_PM2.5_Female
Dntt	0	0	0	0	0	0	-1.38028929146126	1.55556843055118	0	0	0	0	0	0	-2.45878696644731	0	0	0	Biswal_PM2.5_Female
Smpd3	0	0	0	0	0	0	-0.904590871995907	1.18528542862488	0	0	0	0	0	0.727222346807892	-1.34944008329149	1.37576790822933	0	0	Biswal_PM2.5_Female
Hist1h4h	0	0	-1.35332932625888	0	-1.93203786154529	0	2.82423478285624	0.697878667572884	0	0	0	0	0	0	0	0	1.04597407358358	0	Biswal_PM2.5_Female
Ndrg1	0	0.735461488709351	-2.23727736857827	0	-1.87194399224646	0	2.40623608421852	-0.609465510963868	0	0	0	0	0	0	0	-0.869884623894689	0	0	Biswal_PM2.5_Female
Arhgap18	0	0	-1.94873256159972	0	-1.3185240765911	0	2.04697078534926	-0.910686227325747	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Cd9	0	0	-2.13838019154755	0	-1.74764482572617	0	2.35107724739547	-0.651569823611082	0	0	0	0	0	0	0	0	0	-0.895676526817626	Biswal_PM2.5_Female
Ociad2	0	0	-1.68771652748334	0	-1.60080282374952	0	4.19163267676348	-0.768430355971919	0	0	0	0	0	0	0	0.62410177657618	0	0	Biswal_PM2.5_Female
Serpine2.1	0	0	-1.28051546975299	0	-1.13432212671212	1.07136361753964	2.70087551767061	-0.75716472914996	0	0	0	0	0	0	0	0	0	-1.03231465832266	Biswal_PM2.5_Female
2310034O05Rik	0	-1.32404789151149	-2.52950744882613	0	-2.29414905508857	0	3.25890421503679	0.960088233400184	0	0	0	0	0	0	0.897635353794818	0	0	0	Biswal_PM2.5_Female
Cyp2b10	0	0	-2.80553558162763	0	-2.22202856094425	0	2.96503922673539	-1.34670118098933	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Mest	0	0	-3.87909337466801	0	-2.23683586678031	0	2.98845613093068	-0.591477879456634	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Clu	0	0	-3.42540734163746	0	-2.63767072594811	0	2.5673470309501	-0.701670833432468	0	0	0	0	0	0	0	0	0	-0.771412292558574	Biswal_PM2.5_Female
Rai2	0	0	-3.05149064878153	0	-2.22709662910546	0	3.18835497340539	-0.695057466564268	0	0	0	0	0	0	0	0	0	-0.693861317680881	Biswal_PM2.5_Female
Lgalsl	0	1.12123761634219	-2.8869459398505	0	-2.0991008251895	0	2.97409602718727	0.664944058832627	0	0	0	0	0	0	0	0	0	0.651405306771984	Biswal_PM2.5_Female
Angpt1	0	0	-3.51035613521021	0	-2.00075092406265	0	3.20803569622162	0.681360167115079	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Tsc22d1	0	0	-3.21083989971532	0	-2.17832829171407	0	2.51029395881823	0.744100381084302	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
AA986860	0	0	-1.70158998578688	0	-1.04566017307025	0	1.62579870209264	-1.13344995123274	0	0	0	0	0	0	0	-1.2519825849563	0	0	Biswal_PM2.5_Female
Fmo5	0	0	-1.07881127241849	0	-0.755646287315014	0	1.33122911510865	-0.62943858539725	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Pecam1	0	0	-1.31755107312391	0	-0.850407343476337	0	1.01959640349273	-0.595378803854381	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Abcb1a.1	1.05687179217805	-1.1026947643123	-1.41626828848542	0	0	0	0.718621161872771	-0.704580840173946	0	0	0	0	0	0	-0.882685833130519	0	0	0	Biswal_PM2.5_Female
Gclc	0	0	-0.857343153999099	0	0	0	0.684756071716848	-0.78793634138182	0	0	0	0	0	0.638550955162261	0	0	0	-1.17060090736787	Biswal_PM2.5_Female
Alox5ap	0	0	0	0	-0.889173597024759	0	0.637203049672583	-0.625037025656449	0	-0.731792474630636	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Gm17586	0	0	0	0	-0.96083383387536	0	1.30090434207552	-0.587340863635578	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Mif	0	0	0	0	-0.661976248873398	0	0.753510935492123	-0.668185470894801	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Tanc2	0	0	0	0	0	0	1.07006060396491	-0.674217690466801	0	0	0	0	0	0	0.662139541238917	0	0	0	Biswal_PM2.5_Female
Chek2	0	0	0	0	0	0	1.10748517316425	-0.606382856357141	0	0	0	0	0	0	0	0	0	-0.676758332628734	Biswal_PM2.5_Female
Gstp1	0	0	0	0	0	0	0.590271547568471	-0.793268895156032	0	0	0	0	0	0	0	0	0	-0.613950785650713	Biswal_PM2.5_Female
Cyb5a	0	0	-1.08105299802238	0	-1.37849180484202	0	1.83356646521741	0.597068534600679	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Tlr12	0	0	-1.03089606393516	0	-0.856933569127319	0	0.787764404678435	0.711697734100964	0	0	0	0	0	0	0	0.799096321068539	0	0	Biswal_PM2.5_Female
Neb	0	0	-1.85551243797744	0	-0.982582045835826	0	1.06500969916868	0.948493849397365	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Pygm	0	0	-1.14642479032457	0	-0.948444623567145	0	0.94850184316559	1.60519173247695	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Gm28439.1	0	0	-1.15231318019852	0	-1.23751766767906	1.46290258787221	2.35171328408053	0.705472377052128	0	0	0	0	0	0	0	0	0	1.25026900480832	Biswal_PM2.5_Female
Myom1	0	0	-2.18082780402318	0	-1.52206743717348	0	2.26441622152932	1.32770918223215	0	0	0	0	0	0	0	0	0	1.42798818154625	Biswal_PM2.5_Female
Gm43672	0	0	-1.01397099458632	0	-1.31153849608036	0	1.81472540030454	0.842927997971372	0	0	0	0	0	0	0	0	0.659928077969015	1.42974993005938	Biswal_PM2.5_Female
Cuedc1	0	0	-0.99324777878298	0	-1.38990385935447	0	1.82888158321985	0.662425083527136	0	0	0	0	0	0	0	0	0	0.710099899799184	Biswal_PM2.5_Female
Tnnt1	0	0	-1.17288580493705	0	-1.73165568876445	0	1.69166950507843	0.849070673980604	0	0	0	0	0	0	0	0	0	1.18987649057995	Biswal_PM2.5_Female
Gm29216	0	0	0	0.861339316225845	0	0.950938047113199	2.19118754671496	0.694039213702625	0	0	0	0	0	0	0.932140375852523	-0.586254852453285	0	1.27638268396087	Biswal_PM2.5_Female
Gm28661	0	0	0	1.05843188313969	0	1.01600880059097	2.32530005820139	0.752383508562601	0	0	0	0.631357542263462	0	0	0	-0.694284414736888	0	0.729427136494019	Biswal_PM2.5_Female
Gm10925	0	0	0	0.925724391908134	0	1.37373509951397	2.24201793444432	0.699015884910343	0	0	0	0	0	0	0	0	0	0.893584182884191	Biswal_PM2.5_Female
Gm28437	0	0	0	1.22748437984093	0	0.63176707645432	2.30057808859227	0.844563659464227	0	0	0	0	0	0	0	0	0	0.720931760010419	Biswal_PM2.5_Female
mt-Co3	0	0	0	0	0	0	1.68758856771133	0.608982941179349	0	0	0	0.956018241769632	0	0	0	0	0	1.04697933611342	Biswal_PM2.5_Female
Gm13340.1	0	0	0	0	-0.939994139505637	0.77608538069311	1.76855728907959	0.631023113970181	0	0	0	0	0	0	0.85029044904952	0	0	0.924780065377001	Biswal_PM2.5_Female
Gm13341.1	0	0	0	0	-1.25300036832076	0.758594899450803	1.62543659852328	0.690792671309417	0	0	0	0.691493606134632	0	0	0	-1.01035668340502	0	0.899147683040738	Biswal_PM2.5_Female
2410022M11Rik	0	0	0	0	0	0	0.64752463851472	0.596441511673809	0	0	0	0	0	0	-0.633456324110723	0	1.25944305011557	1.01396350784635	Biswal_PM2.5_Female
Mylpf	0	0	0	0	0	0	1.01735974346044	2.37625755142382	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Ifit1	0	0	-0.986778852474198	0	0	0	0.839808951466151	1.01294426033961	0	0	0	0	0	0	0.827616311751877	0.763902364364583	0	0	Biswal_PM2.5_Female
S100a10	0	0	0	0	-0.611747212170328	0	1.20942015157096	0.730304222830148	0	0	0	0.637297493261523	0	0	0	0	0	0	Biswal_PM2.5_Female
Golph3l	0	0	0	0	0	0	0.704917417699821	0.746122465124691	0	0	0	0	0	0	0	0	0	-0.796785170926044	Biswal_PM2.5_Female
Tnfaip8l1	0	0.663159961592219	0	0	0	0	0.782538436468292	0.97359965041426	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Mpc1-ps	0	0	0	0	0	0	0.636841392049645	0.587785993124725	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Rtn4	0	0	0	0	0	0	0.886590444296092	0.585644564751135	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Acyp2	0	0	0	0	0	0	0.99207840155699	0.683059164515471	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Zfp937	0	0	0	0	0	0	0.979154842708604	0.702205392021687	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Anxa11	0	0	0	0	0	0	0	0	0	0	-0.585594330086294	0.591961901142917	0	0	0	0	0	-0.657251917159176	Dolinoy_Pb_Female
Gpam	0	0	-0.822419305936961	0	0	0	0	0	0	0.83556600524691	-0.600080575082468	0.734168563832671	0	0.857799890784347	0	0	0	0	Dolinoy_Pb_Female
Gm15427	0	0	0.593712231516676	0	0	0	0.637470104620349	0	0.708784120254814	0	0.80278113384139	0.691251971603553	0	0	0	0	0	0.686650058831534	Dolinoy_Pb_Female
Gm12481	0	0	0	0	0	0	2.18049349469238	0	0.628635620167856	0	0.730896549393508	0.62568960397937	0	0	0	0	0	0	Dolinoy_Pb_Female
