Aylor_TCDD_Male_adult_blood	Aylor_TCDD_Male_adult_liver	Bartolomei_BPA10mg_Male_adult_blood	Bartolomei_BPA10mg_Male_adult_liver	Bartolomei_BPA10ug_Male_adult_blood	Bartolomei_BPA10ug_Male_adult_liver	Biswal_PM2.5_Male_adult_blood	Biswal_PM2.5_Male_adult_liver	Dolinoy_DEHP_Male_adult_blood	Dolinoy_DEHP_Male_adult_liver	Dolinoy_Pb_Male_adult_blood	Dolinoy_Pb_Male_adult_liver	Mutlu_PM2.5_Male_adult_blood	Mutlu_PM2.5_Male_adult_liver	Walker_TBT_Male_adult_blood	Walker_TBT_Male_adult_liver	Zhibin_As_Male_adult_blood	Zhibin_As_Male_adult_liver	Type
Abcb4	0	0	0	0	0	0	-1.43181705453261	0.977425413355416	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Ccnf	0	0	0	0	0	0	-1.02297664875563	0.899374753609458	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Nek2	0	0	0	0	0	0	-1.15795514122533	0.89519034227202	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Dcbld1	0	0	0	0	0	0	-1.30613402318534	0.633210098990899	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Rai2	0	0	0	0	0	0	-1.11735717123794	0.699073715607917	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Angptl4	0	0	0	0	0	0	-0.837858114440866	1.02013102949869	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Eci2	0	0	0	0	0	0	-0.693560868550626	1.05587222770612	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Chaf1a	0	0	0	0	0	0	-0.649283810293249	0.844610183794109	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Crat	0	0	0	0	0	0	-0.609041369934902	0.832724577628863	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Arl4a	0	0	0	0	0	0	-0.637057515219673	0.62355354361521	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Aldh1a1	0	0	0	0	0	0	-0.716890354445614	0.616328617442699	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Dyrk1b	0	0	0	0	0	0	-0.733535727684669	0.627939839168824	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Hspa2	0	0	0	0	0	0	-0.74518298020134	0.639080311351329	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Gm23935	0	0	0	1.65081141164974	-1.05788145607176	0	-0.886884178281283	2.63521630348409	-1.14357076165684	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Kif20a	0	0	0	0.904994341227636	0	0	-0.910624374944789	0.817119391792953	0	-1.53776152400255	0	-1.054592072521	0	0	0	0	0	0	Biswal_PM2.5_Male
Fkbp5	0	0	0	0	0	0	0.893858337059119	1.91148413677428	0	0	0	0	-1.08600673286321	-0.863020280730664	0	0	0	0.898122371018708	Biswal_PM2.5_Male
Slc16a5	0	0	0	0	0	0	1.15488062679146	1.95466589391384	0	0	-1.42321929415848	0	-0.813931500242187	0	0	0	0	0	Biswal_PM2.5_Male
Cerkl	0	0	0	0	0	0	1.42628729096038	1.07551230104746	0	0	0	-0.960959803712968	0	0	0	-0.617862344801086	0	0	Biswal_PM2.5_Male
Fan1	0	0	0	0	0	0	1.24482080587442	0.602394858478723	0	0	0	-1.32094734049259	0	0	0	0	0	0	Biswal_PM2.5_Male
Adap2	0	0	0	0	0	0	1.40787035990251	0.610558831017955	0	0	0	-0.915114828274205	0	0	0	0	0	0	Biswal_PM2.5_Male
Tlr5	0	0	0	0	0	0	1.56886254347817	0.852901642364718	0	0	0	-0.753921107630325	0	0	0	0	0	0	Biswal_PM2.5_Male
Aatk	0	0	0	0	0	0	0.975906239108957	1.24307263786584	0	0	0	-0.922699128701916	0	0	-0.814119206056317	0	0	0	Biswal_PM2.5_Male
Tmed10-ps	0	0	0	0	0	0	0.641993300535979	0.705276622849883	0	0	0	-0.957444354264116	0	0	0	0	0	0	Biswal_PM2.5_Male
Ptar1	0	0	0	0	0	0	0.650221982860332	0.76313410339298	0	1.15853057372225	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Cers6	0	0	0	0	0	0	1.02809458196585	1.57317415774016	0	0	0	0	-0.594975778853757	0	0	0	0	0	Biswal_PM2.5_Male
Sec24d	0	0	0	0	0	0	0.920877328525265	0.900680243055999	0	0	-0.587780940561744	0	-0.769643355881414	0	0	0	0	0	Biswal_PM2.5_Male
Cd300lf	0	0	0	0	0	0	0.853540269361623	0.874528034576347	0	0	0	0	-1.05949848653323	0	0	0	0	0	Biswal_PM2.5_Male
Hectd1	0	0	0	0	0	0	0.589137153718455	0.842780902677336	0	0	0	0	-0.750982749127747	0	0	0	0	0	Biswal_PM2.5_Male
Iqgap2	0	0	0	0	0	0	0.790821193959201	0.617404622093807	0	0	0	0	-0.713309265235979	0	0	0	0	0	Biswal_PM2.5_Male
Dusp1	0	0	0	0	0	0	0.791655593794691	0.679496796959969	0	0	0	0	0	0	-0.906230715355059	0	0	0	Biswal_PM2.5_Male
Tnfrsf1b	0	0	0	0	0	0	0.603206686554417	0.634021021043272	0	0	0	0	0	0	-0.742233660226624	0	0	0	Biswal_PM2.5_Male
Klhl11	0	0	0	0	0	0	1.12181682398959	0.729951663712523	0	0	0	0	0	0	0	0	0.76501456059773	0	Biswal_PM2.5_Male
Cep290	0	0	0	0	0	0	0.8835617439743	0.619588607044944	0	0	0	0	0	-0.637331333773345	0	0	0	0	Biswal_PM2.5_Male
Gm7694	0	0	0	0	0	0	1.04983630775626	0.917610584823148	0	0	0	0	0	-0.806117959645158	0	0	0	0	Biswal_PM2.5_Male
Enc1	0	0	0	0	0	0	0.809935687591472	1.30012619729829	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Retreg1	0	0	0	0	0	0	0.596664827232727	0.977284214874543	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Shld2	0	0	0	0	0	0	0.610267916845622	1.11634793758156	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Zfp128	0	0	0	0	0	0	0.683613510361867	0.591210116820407	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Dcun1d3	0	0	0	0	0	0	0.782716683439664	0.59995790961873	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Stt3a	0	0	0	0	0	0	0.748617822798549	0.61585219444104	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Hsd17b11	0	0	0	0	0	0	0.63216580180924	0.747725461362336	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Dgkh	0	0	0	0	0	0	0.684755212125396	0.868965598583381	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Zfp292	0	0	0	0	0	0	0.639888534856614	0.846345962747368	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Rusc2	0	0	0	0	0	0	1.13875843937672	0.812233700776755	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Zfp619	0	0	0	0	0	0	1.00252867545297	0.854348941056128	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Abca5	0	0	0	0	0	0	0.969812169847459	0.631420012192322	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Glce	0	0	0	0	0	0	0.864143565776964	0.688046251500718	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Slc26a2	0	0	0	0	0	0	0.801633574406822	0.684510801255472	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Abca6	0	0	0	0	0	0	2.23721110869869	0.603547252411782	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Met	0	0	0	0	0	0	1.94826479845011	0.615860550742656	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Ttbk1	0	0	0	0	0	0	1.44492979300542	1.03438256100103	0	0	0	0	0	0	0.903816478505556	0	0	0	Biswal_PM2.5_Male
Ccdc15	0	0	0	0	0	0	1.06825553546045	0.713234581431098	0	0	0	0	0	0	0.76837260666441	0	0	0	Biswal_PM2.5_Male
Zbtb20	0	0	0	0	0	0	1.15244110446175	0.833809983366314	0	0	0	0	0	0	0.712226446105243	0	0	0	Biswal_PM2.5_Male
Ar	0	0	0	0	0	0	1.21984738056387	1.18544601779585	0	0	0	0	0	0	0	0.632460572246322	0	0.636487331879733	Biswal_PM2.5_Male
Slc16a7	0	0	0	0	0	0	1.32035035301934	0.645473191477671	0	0	0	0	0	0	0	0.634296773015558	0	0	Biswal_PM2.5_Male
Uprt	0	0	0	0	0	0	1.22325169311632	0.591132777809027	0	0	0	0.754390074752808	0	-0.937935332795464	0	0	0.669125770430506	0	Biswal_PM2.5_Male
Cep85l	0	0	0	0	0	0	1.23310798568907	1.27410371079903	0	0	0	0	0	-0.650554471909901	0.595775077279516	0	0	0	Biswal_PM2.5_Male
Il6ra	0	0	0	0	0	0	0.85050849888817	1.69276860415904	0	0	0	0	0	-0.945635573898751	0	0	0	0	Biswal_PM2.5_Male
Fn1	0	0	0	0	0	0	2.63253539381386	0.950706862227707	0	0	0	0	0	0	-1.60203259275515	0	0	0	Biswal_PM2.5_Male
Ms4a8a	0	0	0	0	0	0	2.69918319120854	0.787621132272865	0	0	0	0	0	0	-1.68186011852291	0	0	0	Biswal_PM2.5_Male
Mafb	0	0.675341762483829	0	0	0	0	1.61436111074174	0.850282560155312	0	0	0	0	-1.0284530619113	0	-1.62839736497243	0	0	0	Biswal_PM2.5_Male
Emilin2	0	0	0	0	0	0	1.32765870318958	0.88032351581845	0	0.689993107856631	0	0	0	0	-1.56263524595793	0	0	0	Biswal_PM2.5_Male
Ahr	0	0	0	0	0	0	1.57979834472845	0.76566162719581	0	0	0	-0.625495537274749	0	0	-1.04169351931211	0	0	0	Biswal_PM2.5_Male
Pid1	0	0	0	0	0	0	1.54138296916153	0.72356051902681	0	0	0	0	0	0	-0.729394438300518	0	0	0	Biswal_PM2.5_Male
Olfm1	0	0	0	0	0	0	1.26825803393716	0.618308744012313	0	0	0	0	0	0	-1.29613959819254	0	0	0	Biswal_PM2.5_Male
Sulf2	0	0	0	0	0	0	1.08516342743133	0.768440376832338	0	0	0	0	0	0	-0.96180375939999	0	0	0	Biswal_PM2.5_Male
Steap4	0	0	0	-0.778856865045666	0	0	1.3237398998927	1.21792344733621	0	0	0	0	-1.54458153825731	-0.903765844852796	-1.43291237548874	-1.71257377746267	0	-0.897449188594343	Biswal_PM2.5_Male
Il1rn	-0.999924045786696	0	0	0	0	0	0.718233913916487	0.751544399680837	0	0	0	0	-0.749306238973296	-1.23150462989631	-1.27175371322853	0	0	0	Biswal_PM2.5_Male
Tlr13	0	0	0	0	0	0	0.947969636379323	0.651095442438707	0	0	0	0	-0.774485472734758	-1.14762327361578	-1.04335619127105	0	0	0	Biswal_PM2.5_Male
Mirt2	0	0.894462996737283	0	0	0	0	0.800809983157969	0.946933768380021	0	0	0	0	0	0	-1.15352366133386	-0.842486733100957	0	0	Biswal_PM2.5_Male
C5ar1	0	0	0	0	0	0	0.669655717922211	0.841833963799623	0	0	0	0	0	-1.01804921245045	-0.872060114628507	-0.902886259560239	0	0	Biswal_PM2.5_Male
Fndc3b	0	0	0	0	0	0	1.55414605577178	1.00874332642222	0	0	0	0	0	-0.790529134080359	-0.974688482649137	-0.757621533548964	0	0	Biswal_PM2.5_Male
Gm29216	0	0	2.10304670786693	0	0	0	-1.428485223531	-0.980755618636444	-0.956145951622907	0	-1.91906214558202	0	0	0	0	-0.870247558846344	0	0	Biswal_PM2.5_Male
Bc1	0	0	1.65650257725839	0	0	0	-1.76137551096623	-1.19020310203664	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Gm28661	0	0	1.24281489050905	0	0	0	-1.32542257966617	-1.38757454683908	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Gm28437	0	0	1.57929355819413	0	1.16816735537367	0	-1.14044354277706	-1.30832314029888	0	0	-1.31067500619783	0	0.902923615942269	0	0	0	0	0	Biswal_PM2.5_Male
Gm28439	0	0	2.25914063725571	0	1.40279298350957	0	-0.887930865197019	-0.928655739107722	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Asns	0	0	0	0	0	0	-0.800599082541708	-1.99705756840273	0	0	0	0	-1.20760612086739	0	0	0	-1.7345225822679	0	Biswal_PM2.5_Male
Gm10177	0	0	-0.921555363009547	0	0	0	-1.38879508326284	-0.801729962311542	0	0	0	0	-1.0387827583596	0	0	0	-1.51270904817623	0	Biswal_PM2.5_Male
Sec61g	0	0	0	0	-1.00834792686809	0	-1.24061393080513	-0.776764012428291	0	0	0	0	-0.855177990195851	0	0	0	-1.20660804555302	0	Biswal_PM2.5_Male
Cdc42ep5	0	-1.19986234596898	0	0	0	0	-0.965536406088448	-1.19465725324154	0	0	0	0	0	0	-0.886531206916109	0	0	0	Biswal_PM2.5_Male
Cib3	0	-1.7361361736562	0	0	0	0	-0.99787676395662	-1.41820472698909	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Eno3	0	0	0	0	0	0	-0.716822823220479	-1.18233058270558	0	-0.972497230478342	0	-1.31440028095442	0	0	0	0	0	0	Biswal_PM2.5_Male
Tpm1	0	0	0	0	0	0	-0.731210501274297	-0.731162167674854	0	-0.938200532004334	0	-0.764209743844211	0	0	0	0	0	0	Biswal_PM2.5_Male
Tk1	0	0	0	0.753266883945139	0	0.648023064813571	-0.632066776363392	-1.01981351169239	0	0	0	0	0	0	0	0.978192469683687	0.64568468972371	0	Biswal_PM2.5_Male
Chac2	0	0	0	0	0	0	-0.972751698741419	-0.708985235091359	0	0	0	0	0	0	0	0.679053532785421	0	0	Biswal_PM2.5_Male
Tnfrsf19	0	0	0	0	0	0	-0.797876465948843	-0.596679751326018	0	0	0	0	0	0.844908936146917	0	1.05007066743632	0	0	Biswal_PM2.5_Male
Cd24a	0	0	0	0.87192037677821	0	0	-1.02797538012437	-0.598360170786048	0	0	0	0	-0.674725682617516	0	0	0.675941996876632	-0.594207141599906	0	Biswal_PM2.5_Male
Birc5	0	0	0	0	0	0	-1.51882274153316	-0.836921052228312	0	0	0	0	-1.12107397742972	0	0	0	0	0	Biswal_PM2.5_Male
Rab3il1	0	0	0	0	0	0	-1.60213045417534	-0.94549008326103	0	0	0	0	-1.33771531683015	0	0	0	0	0	Biswal_PM2.5_Male
Nlrp6	0	0	0	0	0.828976255396036	0	-1.637052494231	-0.588356023325158	0	0	0	0	0	0	-0.819252480153896	0	0	0	Biswal_PM2.5_Male
Exoc3l4	0	0	0	0	0.910645502864996	0	-1.19152406381556	-0.853528757851358	0	0	0	0	-0.930703838643584	0	0	0	0	0	Biswal_PM2.5_Male
Gm10925	0	0	0	0	1.01093345813838	0	-0.947139082347969	-1.24955595830752	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
mt-Nd3	0	0	0.907444835993979	0	0.934642127735653	0	-1.24125443749543	-0.606957345754973	0	0	0	0	0	0	0	0	-0.920117487242373	0	Biswal_PM2.5_Male
Tmem256	0	0	0	0	0	0	-1.36328921023393	-0.861815775267988	0	0	0	0	0	0	0	0	-1.34563175252036	0	Biswal_PM2.5_Male
Cox7a2	0	0	0	0	0	0	-0.660223858431682	-0.693039030240664	0	0	0	0	0	0	0	0	-0.705068955475595	0	Biswal_PM2.5_Male
Abhd17a	0	0	0	0	0	0	-0.663122626024843	-0.652469290781602	0	0	0	0	0	0	0	0	-0.663012209760534	0	Biswal_PM2.5_Male
Ndufa2	0	0	0	0	0	0	-0.688818215518731	-0.625428581841898	0	0	0	0	0	0	0	0	-0.627906152174961	0	Biswal_PM2.5_Male
Gm14719	0	0	0	0	0	0	-0.787968633196227	-0.683885324922052	0	0	0	0	0	0	0	0	-0.965841131475354	0	Biswal_PM2.5_Male
Prelid2	0	0	0	0	0	0	-0.64837254999791	-0.872449832914079	0	0	0	0	0	0	0	0	-1.06364643122405	0	Biswal_PM2.5_Male
Csrp1	0	0	0	0	0	0	-0.754786458229886	-0.737766425440918	0	0	0	0	0	0	-0.961542368303165	0	0	0	Biswal_PM2.5_Male
Lzts2	0	0	0	0	0	0	-0.715695660643866	-0.613027921642621	0	0	0	0	0	0	-1.19658483715188	0	0	0	Biswal_PM2.5_Male
Tuba1a	0	0	0	0	0	0	-0.602748285134409	-1.03594929809422	0	0	0	0	0	0	-0.695701394797072	0	0	0	Biswal_PM2.5_Male
Mad2l1bp	0	0	0	0	0	0	-0.743863093189203	-0.601803645696184	0	0	0	0	0	0	-0.62351964163003	0	0	0	Biswal_PM2.5_Male
Gipc1	0	0	0	0	0	0	-0.902834954406286	-0.762287964591747	0	0	0	0	0	0	-0.825565965102834	0	0	0	Biswal_PM2.5_Male
Camk1	0	0	0	0	0	0	-0.916879601787437	-0.684914268435587	0	0	0	0	0	0	-0.662823978005915	0	0	0	Biswal_PM2.5_Male
Dut	0	0	0	0	0	0	-0.956663541361535	-0.7335158815334	0	0	0	0	0	0	-0.682211513961621	0	0	0	Biswal_PM2.5_Male
AI463229	0	0	0	-0.63543170360578	0	0	-0.918462279654313	-0.657103523480047	0	0	0	0	0	0	-1.49423557285639	0	0	0	Biswal_PM2.5_Male
Maged2	0	0	0	0	0	0	-1.20653774704337	-0.67868695451699	0	0	0	0	0	0	-1.16603168769939	0	0	0	Biswal_PM2.5_Male
Cavin1	0	0	0	0	0	0	-1.39977082818377	-0.590042980213684	0	0	0	0	0	0	-1.5490759097632	0	0	0	Biswal_PM2.5_Male
Tspan9	0	0	0	0	0	0	-1.02055456292015	-0.590894058516818	0	0	0	0	0	0	-1.58042849621842	0	0	0	Biswal_PM2.5_Male
AC102496.1	0	0	0	0	0	0	-1.11796236817559	-1.67404269426216	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Pdzk1ip1	0	0	0	0	0	-0.860430750037134	-0.921608840858541	-1.12921873134038	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Gstp3	0	0	0.605787328506772	0	0	0	-1.40485205437561	-0.637097202935603	0	0	0	0.599559521437986	0	0	0	0	0	0	Biswal_PM2.5_Male
Gm5526	0	0	0	0	0	0	-0.801469300874364	-1.18996107704098	0	0	0	1.26313011910366	0	0	0	0	0	0	Biswal_PM2.5_Male
Gm12481	0	0	0	0	0	0	-0.669078291065579	-0.634779455246115	0	0	0	0.828662452779322	0	0	0	-0.653356995333066	0	0	Biswal_PM2.5_Male
Gpx4-ps2	0	0	0	0	0	0	-0.957253186847313	-0.707916509339803	0	0	0	0.918213287687511	0	0	0	0	0	0	Biswal_PM2.5_Male
