Aylor_TCDD_Female_adult	Bartolomei_BPA10mg_Female_adult	Bartolomei_BPA10ug_Female_adult	Biswal_PM2.5_Female_adult	Dolinoy_Pb_Female_adult	Mutlu_PM2.5_Female_adult	Walker_TBT_Female_adult	Zhibin_As_Female_adult
Gstp1	0	0	0	1	0	0	0	0
H2-Eb1	0	0	0	1	0	0	0	0
Hist1h1c	0	0	0	0	0	0	0	1
Hist1h4h	0	0	0	1	0	0	0	0
Hp	0	0	1	0	0	0	0	0
Hspa1b	0	0	0	0	0	1	0	0
Hsph1	1	0	0	0	0	0	0	0
Ifit1	0	0	0	1	0	0	1	0
Il13ra1	0	0	0	0	0	0	0	1
Jdp2	1	0	0	0	0	0	0	0
Kcna2	0	1	0	0	0	0	0	0
Klhdc8b	0	0	0	0	0	0	1	0
Lamc1	0	0	0	0	0	0	0	1
Lcn2	0	0	1	0	0	0	0	0
Lgals1	0	0	0	0	0	0	1	0
Lgalsl	0	0	0	1	0	0	0	0
Lst1	0	0	1	0	0	0	0	0
Ly6a	0	0	0	0	0	0	0	1
Ly6d	0	0	0	1	0	0	1	0
Lynx1	0	0	0	1	0	0	0	0
Maged1	0	0	0	1	0	0	0	0
Marcks	0	0	0	0	0	0	0	1
Megf8	0	0	0	0	0	0	0	1
Mest	0	0	0	1	0	0	0	0
Mfsd13a	0	0	0	0	0	0	1	0
Mif	0	0	0	1	0	0	0	0
Mki67	0	0	0	0	0	0	0	1
Mpc1-ps	0	0	0	1	0	0	0	0
Mpeg1	0	0	0	0	0	0	0	1
mt-Co3	0	0	0	1	0	0	0	0
mt-Nd1	0	0	0	0	0	0	1	0
mt-Nd2	0	0	0	0	0	0	1	0
mt-Nd5	0	0	0	0	0	0	1	0
mt-Nd6	0	0	0	0	0	0	0	1
mt-Tm	0	0	1	0	0	0	1	0
Mterf2	0	0	0	0	0	0	1	0
Mylpf	0	0	0	1	0	0	0	0
Myo1e	0	0	0	1	0	0	0	0
Myom1	0	0	0	1	0	0	0	0
n-R5-8s1	0	0	0	0	0	0	1	0
Ndrg1	0	0	0	1	0	0	0	0
Ndufb1-ps	0	1	0	0	0	0	0	1
Ndufb2	0	1	0	0	0	0	0	0
Ndufb4	0	1	0	0	0	0	0	0
Ndufc1	0	0	0	0	0	0	0	1
Neb	0	0	0	1	0	0	0	0
Nid1	0	0	0	0	0	0	0	1
Nlrp12	0	1	0	0	0	0	0	0
Nme4	0	0	0	0	0	0	1	0
Nme6	0	0	0	1	0	0	0	0
Nol4l	0	0	0	0	0	0	0	1
Nxpe2	0	0	0	0	0	0	1	0
Oas1a	0	0	0	0	0	0	0	1
Ociad2	0	0	0	1	0	0	0	0
Pdzk1ip1	0	0	0	0	0	0	0	1
Pecam1	0	0	0	1	0	0	0	0
Pfkfb1	0	0	0	0	0	0	0	1
Phpt1	0	0	0	0	0	0	1	0
Pim3	0	1	0	0	0	0	0	0
Plin2	0	1	0	0	0	0	0	0
Plxdc2	0	0	0	0	0	0	1	0
Ppp1r3b	1	0	0	0	0	0	0	0
Prelid2	0	0	0	0	0	0	1	0
Prodh	0	0	0	0	0	0	0	1
Pygm	0	0	0	1	0	0	0	0
Rab30	0	0	0	1	0	0	0	0
Rai2	0	0	0	1	0	0	0	0
Ralgds	0	0	0	0	0	0	0	1
Rassf4	0	0	1	0	0	0	0	0
Rpl19-ps11	0	1	0	0	0	0	0	0
Rpl24	0	0	0	0	0	0	1	0
Rpl3-ps1	0	0	0	0	0	0	1	0
Rpl31-ps8	0	1	0	0	0	0	0	0
Rpl36al	0	1	0	0	0	0	0	0
Rpl37rt	0	1	0	0	0	0	0	0
Rpl38-ps2	0	1	0	0	0	0	0	0
Rpl39	0	1	0	0	0	0	0	0
Rpl9-ps6	0	1	0	0	0	0	1	0
Rps10	0	1	0	0	0	0	0	0
Rps13-ps2	0	1	0	0	0	0	0	1
Rps16-ps2	0	1	0	0	0	0	0	0
Rps21	0	1	0	0	0	0	0	0
Rps24-ps3	0	1	0	0	0	0	0	0
Rps27rt	0	1	0	0	0	0	0	0
Rps3a2	0	1	0	0	0	0	0	0
Rrm2	1	0	0	0	0	0	0	0
Rsad1	0	0	0	1	0	0	0	0
Rtn4	0	0	0	1	0	0	0	0
S100a10	0	0	0	1	0	0	0	0
Scand1	0	0	0	0	0	1	0	0
Scaper	0	0	0	1	0	0	0	0
Serpina3f	0	0	0	1	0	0	0	0
Serpina3k	0	0	0	1	0	0	0	0
Serpinb1a	0	0	0	1	0	0	0	0
Serpine2	0	0	1	1	0	0	0	0
Slc25a29	0	0	0	0	0	0	1	0
Slc5a6	0	0	0	0	0	0	1	0
Slc7a2	0	0	0	1	0	0	0	0
Slpi	0	0	0	0	0	0	1	0
Smco4	0	1	0	0	0	0	0	0
Smim27	0	1	0	0	0	0	0	1
Smpd3	0	0	0	1	0	0	1	0
Snord104	0	1	0	0	0	0	0	0
Spon1	0	0	0	0	0	0	0	1
Sspn	0	0	0	1	0	0	0	0
St5	1	0	0	0	0	0	0	0
Syvn1	0	0	0	1	0	0	0	0
Tanc2	0	0	0	1	0	0	0	0
Ten1	0	1	0	0	0	0	0	0
Tlr12	0	0	0	1	0	0	0	0
Tnfaip8l1	0	0	0	1	0	0	0	0
Tnfrsf19	0	0	0	0	0	0	1	0
Tnnt1	0	0	0	1	0	0	0	0
Tsc22d1	0	0	0	1	0	0	0	0
Tspo	0	0	1	0	0	0	0	0
Tspyl4	0	0	0	0	0	0	1	0
Tst	0	0	1	0	0	0	0	0
Tstd1	0	1	0	0	0	0	0	0
Usp18	0	0	0	0	0	0	0	1
Vcp-rs	0	0	0	0	0	0	1	0
Vim	0	0	0	0	0	0	1	0
Wfdc21	0	0	1	1	0	0	0	0
Zbtb20	0	1	0	0	0	0	0	0
Zc3h6	1	0	0	0	0	0	0	0
Zdhhc1	0	0	0	0	0	0	0	1
Zfp169	0	0	0	0	0	0	0	1
Zfp661	0	0	0	0	0	0	0	1
Zfp689	0	0	0	0	0	0	1	0
Zfp937	0	0	0	1	0	0	0	0
Zfp971	0	0	0	0	0	0	1	0
